nodes,techs,carriers,carrier_out
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,1.0
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,1.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,1.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,1.0
ESP_1,battery_CN,electricity,1.0
ESP_1,battery_CZ,electricity,1.0
ESP_1,battery_ESP,electricity,1.0
ESP_1,battery_HU,electricity,1.0
ESP_1,battery_PL,electricity,1.0
ESP_1,battery_US,electricity,1.0
ESP_1,biogas_to_electricity_supply_BEL,electricity,1.0
ESP_1,biogas_to_electricity_supply_CAN,electricity,1.0
ESP_1,biogas_to_electricity_supply_FR,electricity,1.0
ESP_1,biogas_to_electricity_supply_FSM,electricity,1.0
ESP_1,biogas_to_electricity_supply_UK,electricity,1.0
ESP_1,biogas_to_electricity_supply_USA,electricity,1.0
ESP_1,biomass_ESP,electricity,1.0
ESP_1,biomass_FR,electricity,1.0
ESP_1,biomass_IT,electricity,1.0
ESP_1,existing_biogas_to_electricity_supply,electricity,1.0
ESP_1,existing_biomass,electricity,1.0
ESP_1,existing_ccgt,electricity,1.0
ESP_1,existing_chp,electricity,1.0
ESP_1,existing_coal,electricity,1.0
ESP_1,existing_hydro_reservoir,electricity,1.0
ESP_1,existing_hydro_run_of_river,electricity,1.0
ESP_1,existing_nuclear,electricity,1.0
ESP_1,existing_oil_and_other,electricity,1.0
ESP_1,existing_open_field_pv,electricity,1.0
ESP_1,existing_pumped_hydro,electricity,1.0
ESP_1,existing_rooftop_pv,electricity,1.0
ESP_1,existing_wind_onshore,electricity,1.0
ESP_1,existing_wte,electricity,1.0
ESP_1,open_field_pv_CN,electricity,1.0
ESP_1,open_field_pv_DE,electricity,1.0
ESP_1,open_field_pv_ESP,electricity,1.0
ESP_1,open_field_pv_MY,electricity,1.0
ESP_1,open_field_pv_NL,electricity,1.0
ESP_1,open_field_pv_PT,electricity,1.0
ESP_1,pumped_hydro_CN,electricity,1.0
ESP_1,pumped_hydro_ESP,electricity,1.0
ESP_1,roof_mounted_pv_CN,electricity,1.0
ESP_1,roof_mounted_pv_DE,electricity,1.0
ESP_1,roof_mounted_pv_ESP,electricity,1.0
ESP_1,roof_mounted_pv_MY,electricity,1.0
ESP_1,roof_mounted_pv_NL,electricity,1.0
ESP_1,roof_mounted_pv_PT,electricity,1.0
ESP_1,wind_offshore_CN,electricity,1.0
ESP_1,wind_offshore_DE,electricity,1.0
ESP_1,wind_offshore_ESP,electricity,1.0
ESP_1,wind_offshore_FR,electricity,1.0
ESP_1,wind_offshore_IND,electricity,1.0
ESP_1,wind_offshore_NDL,electricity,1.0
ESP_1,wind_offshore_PT,electricity,1.0
ESP_1,wind_onshore_competing_CN,electricity,1.0
ESP_1,wind_onshore_competing_DE,electricity,1.0
ESP_1,wind_onshore_competing_ESP,electricity,1.0
ESP_1,wind_onshore_competing_FR,electricity,1.0
ESP_1,wind_onshore_competing_IND,electricity,1.0
ESP_1,wind_onshore_competing_NDL,electricity,1.0
ESP_1,wind_onshore_competing_PT,electricity,1.0
ESP_1,wind_onshore_monopoly_CN,electricity,1.0
ESP_1,wind_onshore_monopoly_DE,electricity,1.0
ESP_1,wind_onshore_monopoly_ESP,electricity,1.0
ESP_1,wind_onshore_monopoly_FR,electricity,1.0
ESP_1,wind_onshore_monopoly_IND,electricity,1.0
ESP_1,wind_onshore_monopoly_NDL,electricity,1.0
ESP_1,wind_onshore_monopoly_PT,electricity,1.0
ESP_10,ESP_10_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_10,ESP_8_ESP_10_ac_ohl_transmission,electricity,1.0
ESP_10,ESP_9_ESP_10_ac_ohl_transmission,electricity,1.0
ESP_10,Trade_Markets_ESP_10_natural_gas_transmission,natural_gas,1.0
ESP_10,battery_CN,electricity,1.0
ESP_10,battery_CZ,electricity,1.0
ESP_10,battery_ESP,electricity,1.0
ESP_10,battery_HU,electricity,1.0
ESP_10,battery_PL,electricity,1.0
ESP_10,battery_US,electricity,1.0
ESP_10,biogas_to_electricity_supply_BEL,electricity,1.0
ESP_10,biogas_to_electricity_supply_CAN,electricity,1.0
