nodes,techs,costs,cost_investment_annualised
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,monetary,0.022314472965417644
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,monetary,0.019104445126903263
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,monetary,0.0
ESP_1,battery_CN,co2,0.014932879588694789
ESP_1,battery_CN,monetary,0.017445026391634824
ESP_1,battery_CN,vul,1.9199361758716846e-07
ESP_1,battery_CZ,co2,0.013677033668015174
ESP_1,battery_CZ,monetary,0.01570846850181447
ESP_1,battery_CZ,vul,1.4979665368456116e-07
ESP_1,battery_ESP,co2,0.002038061344095515
ESP_1,battery_ESP,monetary,0.029236291505988374
ESP_1,battery_ESP,vul,1.7633339194458516e-07
ESP_1,battery_HU,co2,0.012856036537419055
ESP_1,battery_HU,monetary,0.014864639118033988
ESP_1,battery_HU,vul,1.266055752916869e-07
ESP_1,battery_PL,co2,0.013544059896849743
ESP_1,battery_PL,monetary,0.015559388519209157
ESP_1,battery_PL,vul,1.4585461874703578e-07
ESP_1,battery_US,co2,0.014470644909164332
ESP_1,battery_US,monetary,0.0167311369367767
ESP_1,battery_US,vul,1.7530825873672626e-07
ESP_1,biogas_to_electricity_supply_BEL,co2,0.0033649835212999114
ESP_1,biogas_to_electricity_supply_BEL,monetary,0.001272599387015612
ESP_1,biogas_to_electricity_supply_BEL,vul,0.0
ESP_1,biogas_to_electricity_supply_CAN,co2,0.0030174555144810377
ESP_1,biogas_to_electricity_supply_CAN,monetary,0.0011411696171469254
ESP_1,biogas_to_electricity_supply_CAN,vul,0.0
ESP_1,biogas_to_electricity_supply_FR,co2,0.0030026932117646005
ESP_1,biogas_to_electricity_supply_FR,monetary,0.0011355868224315099
ESP_1,biogas_to_electricity_supply_FR,vul,0.0
ESP_1,biogas_to_electricity_supply_FSM,co2,0.003074710004015161
ESP_1,biogas_to_electricity_supply_FSM,monetary,0.0011628229736045078
ESP_1,biogas_to_electricity_supply_FSM,vul,0.0
ESP_1,biogas_to_electricity_supply_UK,co2,0.0030395528620767416
ESP_1,biogas_to_electricity_supply_UK,monetary,0.00114952676174192
ESP_1,biogas_to_electricity_supply_UK,vul,0.0
ESP_1,biogas_to_electricity_supply_USA,co2,0.003048071458867003
ESP_1,biogas_to_electricity_supply_USA,monetary,0.001188245494486813
ESP_1,biogas_to_electricity_supply_USA,vul,0.0
ESP_1,biomass_ESP,co2,1.1467670352229818e-07
ESP_1,biomass_ESP,monetary,3.7923319164815813e-06
ESP_1,biomass_ESP,vul,0.0
ESP_1,biomass_FR,co2,5.17755810968077e-07
ESP_1,biomass_FR,monetary,1.9616006240285392e-07
ESP_1,biomass_FR,vul,0.0
ESP_1,biomass_IT,co2,1.5590526683995985e-05
ESP_1,biomass_IT,monetary,5.896749167471009e-06
ESP_1,biomass_IT,vul,0.0
ESP_1,existing_biogas_to_electricity_supply,monetary,0.0
ESP_1,existing_biomass,monetary,0.0
ESP_1,existing_ccgt,monetary,0.0
ESP_1,existing_chp,monetary,0.0
ESP_1,existing_coal,monetary,0.0
ESP_1,existing_hydro_run_of_river,monetary,0.0
ESP_1,existing_nuclear,monetary,0.0
ESP_1,existing_oil_and_other,monetary,0.0
ESP_1,existing_open_field_pv,monetary,0.0
ESP_1,existing_pumped_hydro,monetary,0.0
ESP_1,existing_rooftop_pv,monetary,0.0
ESP_1,existing_wind_onshore,monetary,0.0
ESP_1,existing_wte,monetary,0.0
ESP_1,open_field_pv_CN,co2,0.0009776691170225204
ESP_1,open_field_pv_CN,monetary,0.0003697424235118196
ESP_1,open_field_pv_CN,vul,0.0
ESP_1,open_field_pv_DE,co2,0.005722511859151809
ESP_1,open_field_pv_DE,monetary,0.002163978827581263
ESP_1,open_field_pv_DE,vul,0.0
ESP_1,open_field_pv_ESP,co2,0.0017497937127296838
ESP_1,open_field_pv_ESP,monetary,0.004561433271851024
ESP_1,open_field_pv_ESP,vul,0.0
ESP_1,open_field_pv_MY,co2,0.005609002810340096
ESP_1,open_field_pv_MY,monetary,0.00212103955480848
ESP_1,open_field_pv_MY,vul,0.0
ESP_1,open_field_pv_NL,co2,0.005828783845573387
ESP_1,open_field_pv_NL,monetary,0.0022041598291900385
ESP_1,open_field_pv_NL,vul,0.0
ESP_1,open_field_pv_PT,co2,0.005298807896516336
ESP_1,open_field_pv_PT,monetary,0.002003750313038443
ESP_1,open_field_pv_PT,vul,0.0
ESP_1,pumped_hydro_CN,co2,1924.621300402081
ESP_1,pumped_hydro_CN,monetary,935.178257064374
ESP_1,pumped_hydro_CN,vulnerability,0.16487195925996462
ESP_1,pumped_hydro_ESP,co2,7.3563078640297486e-06
ESP_1,pumped_hydro_ESP,monetary,0.00032241933928634577
ESP_1,pumped_hydro_ESP,vul,0.0
ESP_1,roof_mounted_pv_CN,co2,0.001096742695618601
ESP_1,roof_mounted_pv_CN,monetary,0.00041473190637163014
ESP_1,roof_mounted_pv_CN,vul,0.0
ESP_1,roof_mounted_pv_DE,co2,0.0012624780288473054
ESP_1,roof_mounted_pv_DE,monetary,0.00047740848633506013
ESP_1,roof_mounted_pv_DE,vul,0.0
ESP_1,roof_mounted_pv_ESP,co2,0.0006497100024777671
ESP_1,roof_mounted_pv_ESP,monetary,0.0016936904052154004
ESP_1,roof_mounted_pv_ESP,vul,0.0
ESP_1,roof_mounted_pv_MY,co2,0.001318469220865171
ESP_1,roof_mounted_pv_MY,monetary,0.0004985779939523654
ESP_1,roof_mounted_pv_MY,vul,0.0
ESP_1,roof_mounted_pv_NL,co2,0.001206844746718838
ESP_1,roof_mounted_pv_NL,monetary,0.0004563694213513956
ESP_1,roof_mounted_pv_NL,vul,0.0
ESP_1,roof_mounted_pv_PT,co2,0.001458014814843279
ESP_1,roof_mounted_pv_PT,monetary,0.0005513499826211149
ESP_1,roof_mounted_pv_PT,vul,0.0
ESP_1,wind_offshore_CN,co2,0.0008932696508102271
ESP_1,wind_offshore_CN,monetary,0.00033782154809039694
ESP_1,wind_offshore_CN,vul,0.0
ESP_1,wind_offshore_DE,co2,0.00035443885923292065
ESP_1,wind_offshore_DE,monetary,0.0001340424165635134
ESP_1,wind_offshore_DE,vul,0.0
ESP_1,wind_offshore_ESP,co2,0.0005977811859015018
ESP_1,wind_offshore_ESP,monetary,0.005263286203446015
ESP_1,wind_offshore_ESP,vul,0.0
ESP_1,wind_offshore_FR,co2,0.00027319878620349065
ESP_1,wind_offshore_FR,monetary,0.00010332058888555795
ESP_1,wind_offshore_FR,vul,0.0
ESP_1,wind_offshore_IND,co2,0.0009026251915785065
ESP_1,wind_offshore_IND,monetary,0.0003413661087993369
ESP_1,wind_offshore_IND,vul,0.0
ESP_1,wind_offshore_NDL,co2,0.0001445099899696969
ESP_1,wind_offshore_NDL,monetary,5.465187537496579e-05
ESP_1,wind_offshore_NDL,vul,0.0
ESP_1,wind_offshore_PT,co2,0.00024919151840874503
ESP_1,wind_offshore_PT,monetary,9.423840618348505e-05
ESP_1,wind_offshore_PT,vul,0.0
ESP_1,wind_onshore_competing_CN,co2,0.002682269480210948
ESP_1,wind_onshore_competing_CN,monetary,0.0010143951799757177
ESP_1,wind_onshore_competing_CN,vul,0.0
ESP_1,wind_onshore_competing_DE,co2,0.0011525594754753829
ESP_1,wind_onshore_competing_DE,monetary,0.0004358773122683226
ESP_1,wind_onshore_competing_DE,vul,0.0
ESP_1,wind_onshore_competing_ESP,co2,0.001418442443137581
ESP_1,wind_onshore_competing_ESP,monetary,0.01248896538971775
ESP_1,wind_onshore_competing_ESP,vul,0.0
ESP_1,wind_onshore_competing_FR,co2,0.0009006558496518977
ESP_1,wind_onshore_competing_FR,monetary,0.000340617519068859
ESP_1,wind_onshore_competing_FR,vul,0.0
ESP_1,wind_onshore_competing_IND,co2,0.0016377960792403384
ESP_1,wind_onshore_competing_IND,monetary,0.0006194022500073971
ESP_1,wind_onshore_competing_IND,vul,0.0
ESP_1,wind_onshore_competing_NDL,co2,0.00048738345415636945
ESP_1,wind_onshore_competing_NDL,monetary,0.00018432234201912128
ESP_1,wind_onshore_competing_NDL,vul,0.0
ESP_1,wind_onshore_competing_PT,co2,0.0008249193527474077
ESP_1,wind_onshore_competing_PT,monetary,0.00031196521265749327
ESP_1,wind_onshore_competing_PT,vul,0.0
ESP_1,wind_onshore_monopoly_CN,co2,0.0025953085340555955
ESP_1,wind_onshore_monopoly_CN,monetary,0.0009815078190013907
ESP_1,wind_onshore_monopoly_CN,vul,0.0
ESP_1,wind_onshore_monopoly_DE,co2,0.0011962262318448206
