nodes,techs,carriers,costs,cost_investment_flow_cap
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,monetary,48.868695794264646
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,monetary,41.83873482791815
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,monetary,0.0
ESP_1,battery_CN,electricity,co2,13.626252624683994
ESP_1,battery_CN,electricity,monetary,5.1535118826365345
ESP_1,battery_CN,electricity,vul,0.00017519417604829122
ESP_1,battery_CZ,electricity,co2,12.480293222063846
ESP_1,battery_CZ,electricity,monetary,4.719886587201707
ESP_1,battery_CZ,electricity,vul,0.00013668944648716208
ESP_1,battery_ESP,electricity,co2,1.8597309764871577
ESP_1,battery_ESP,electricity,monetary,16.375544293048193
ESP_1,battery_ESP,electricity,vul,0.00016090422014943396
ESP_1,battery_HU,electricity,co2,11.731133340394889
ESP_1,battery_HU,electricity,monetary,4.4364904133956165
ESP_1,battery_HU,electricity,vul,0.00011552758745366431
ESP_1,battery_PL,electricity,co2,12.358954655875392
ESP_1,battery_PL,electricity,monetary,4.6739367823070435
ESP_1,battery_PL,electricity,vul,0.00013309233960667017
ESP_1,battery_US,electricity,co2,13.204463479612453
ESP_1,battery_US,electricity,monetary,4.993585626812153
ESP_1,battery_US,electricity,vul,0.00015996878609726272
ESP_1,biogas_to_electricity_supply_BEL,electricity,co2,3.070547463186169
ESP_1,biogas_to_electricity_supply_BEL,electricity,monetary,1.161246940651746
ESP_1,biogas_to_electricity_supply_BEL,electricity,vul,6.057310211526503e-06
ESP_1,biogas_to_electricity_supply_CAN,electricity,co2,2.753428156963947
ESP_1,biogas_to_electricity_supply_CAN,electricity,monetary,1.0413172756465694
ESP_1,biogas_to_electricity_supply_CAN,electricity,vul,2.1301662284482416e-07
ESP_1,biogas_to_electricity_supply_FR,electricity,co2,2.739957555735198
ESP_1,biogas_to_electricity_supply_FR,electricity,monetary,1.0362229754687529
ESP_1,biogas_to_electricity_supply_FR,electricity,vul,1.8267869491619972e-07
ESP_1,biogas_to_electricity_supply_FSM,electricity,co2,2.805672878663835
ESP_1,biogas_to_electricity_supply_FSM,electricity,monetary,1.0610759634141134
ESP_1,biogas_to_electricity_supply_FSM,electricity,vul,3.738020391058821e-07
ESP_1,biogas_to_electricity_supply_UK,electricity,co2,2.7735919866450267
ESP_1,biogas_to_electricity_supply_UK,electricity,monetary,1.048943170089502
ESP_1,biogas_to_electricity_supply_UK,electricity,vul,2.653182600678437e-07
ESP_1,biogas_to_electricity_supply_USA,electricity,co2,2.7813652062161407
ESP_1,biogas_to_electricity_supply_USA,electricity,monetary,1.0842740137192168
ESP_1,biogas_to_electricity_supply_USA,electricity,vul,3.7056350848602123e-07
ESP_1,biomass_ESP,electricity,co2,0.0001046424919640971
ESP_1,biomass_ESP,electricity,monetary,0.0034605028737894434
ESP_1,biomass_ESP,electricity,vul,6.08386581186611e-07
ESP_1,biomass_FR,electricity,co2,0.0004724521775083703
ESP_1,biomass_FR,electricity,monetary,0.0001789960569426042
ESP_1,biomass_FR,electricity,vul,6.088301256551164e-07
ESP_1,biomass_IT,electricity,co2,0.014226355599146336
ESP_1,biomass_IT,electricity,monetary,0.0053807836153172955
ESP_1,biomass_IT,electricity,vul,6.059441008240198e-07
ESP_1,existing_biogas_to_electricity_supply,electricity,monetary,0.0
ESP_1,existing_biomass,electricity,monetary,0.0
ESP_1,existing_ccgt,electricity,monetary,0.0
ESP_1,existing_ccgt,natural_gas,monetary,0.0
ESP_1,existing_chp,electricity,monetary,0.0
ESP_1,existing_chp,natural_gas,monetary,0.0
ESP_1,existing_coal,coal,monetary,0.0
ESP_1,existing_coal,electricity,monetary,0.0
ESP_1,existing_hydro_run_of_river,electricity,monetary,0.0
ESP_1,existing_nuclear,electricity,monetary,0.0
ESP_1,existing_nuclear,uranium,monetary,0.0
ESP_1,existing_oil_and_other,electricity,monetary,0.0
ESP_1,existing_oil_and_other,oil,monetary,0.0
ESP_1,existing_open_field_pv,electricity,monetary,0.0
ESP_1,existing_pumped_hydro,electricity,monetary,0.0
ESP_1,existing_rooftop_pv,electricity,monetary,0.0
ESP_1,existing_wind_onshore,electricity,monetary,0.0
ESP_1,existing_wte,electricity,monetary,0.0
ESP_1,open_field_pv_CN,electricity,co2,1.4273969108528797
ESP_1,open_field_pv_CN,electricity,monetary,0.5398239383272565
ESP_1,open_field_pv_CN,electricity,vul,4.590261545953781e-06
ESP_1,open_field_pv_DE,electricity,co2,8.354867314361641
ESP_1,open_field_pv_DE,electricity,monetary,3.159409088268644
ESP_1,open_field_pv_DE,electricity,vul,2.038617796247625e-05
ESP_1,open_field_pv_ESP,electricity,co2,2.554698820585338
ESP_1,open_field_pv_ESP,electricity,monetary,6.659692576902494
ESP_1,open_field_pv_ESP,electricity,vul,4.843581868241578e-06
ESP_1,open_field_pv_MY,electricity,co2,8.18914410309654
ESP_1,open_field_pv_MY,electricity,monetary,3.0967177500203804
ESP_1,open_field_pv_MY,electricity,vul,1.7865404474664122e-05
ESP_1,open_field_pv_NL,electricity,co2,8.510024414537146
ESP_1,open_field_pv_NL,electricity,monetary,3.218073350617456
ESP_1,open_field_pv_NL,electricity,vul,2.312066839062446e-05
ESP_1,open_field_pv_PT,electricity,co2,7.736259528913851
ESP_1,open_field_pv_PT,electricity,monetary,2.9254754570361268
ESP_1,open_field_pv_PT,electricity,vul,1.2426728020100957e-05
ESP_1,pumped_hydro_CN,electricity,co2,1647726.134527962
ESP_1,pumped_hydro_CN,electricity,monetary,623147.8761953227
ESP_1,pumped_hydro_CN,electricity,vulnerability,59.66563349246675
ESP_1,pumped_hydro_ESP,electricity,co2,0.006697791747247393
ESP_1,pumped_hydro_ESP,electricity,monetary,0.22276566929690642
ESP_1,pumped_hydro_ESP,electricity,vul,8.011712616324633e-07
ESP_1,roof_mounted_pv_CN,electricity,co2,1.6012443356031576
ESP_1,roof_mounted_pv_CN,electricity,monetary,0.60550858330258
ESP_1,roof_mounted_pv_CN,electricity,vul,5.148794946536453e-06
ESP_1,roof_mounted_pv_DE,electricity,co2,1.843217922117066
ESP_1,roof_mounted_pv_DE,electricity,monetary,0.6970163900491878
ESP_1,roof_mounted_pv_DE,electricity,vul,4.4975182932363805e-06
ESP_1,roof_mounted_pv_ESP,electricity,co2,0.9485766036175398
ESP_1,roof_mounted_pv_ESP,electricity,monetary,2.4727879916144846
ESP_1,roof_mounted_pv_ESP,electricity,vul,1.7984540490246092e-06
ESP_1,roof_mounted_pv_MY,electricity,co2,1.9249650624631494
ESP_1,roof_mounted_pv_MY,electricity,monetary,0.7279238711704535
ESP_1,roof_mounted_pv_MY,electricity,vul,4.1994961875805e-06
ESP_1,roof_mounted_pv_NL,electricity,co2,1.7619933302095034
ESP_1,roof_mounted_pv_NL,electricity,monetary,0.6662993551730375
ESP_1,roof_mounted_pv_NL,electricity,vul,4.787114761348394e-06
ESP_1,roof_mounted_pv_PT,electricity,co2,2.1287016296711876
ESP_1,roof_mounted_pv_PT,electricity,monetary,0.8049709746268278
ESP_1,roof_mounted_pv_PT,electricity,vul,3.419326366831881e-06
ESP_1,wind_offshore_CN,electricity,co2,0.9781302676371988
ESP_1,wind_offshore_CN,electricity,monetary,0.36991459515898467
ESP_1,wind_offshore_CN,electricity,vul,3.714747892739352e-06
ESP_1,wind_offshore_DE,electricity,co2,0.38811055086004814
ESP_1,wind_offshore_DE,electricity,monetary,0.14677644613704718
ESP_1,wind_offshore_DE,electricity,vul,4.233040495386953e-06
ESP_1,wind_offshore_ESP,electricity,co2,0.6545703985621445
ESP_1,wind_offshore_ESP,electricity,monetary,5.763298392773387
ESP_1,wind_offshore_ESP,electricity,vul,0.0
ESP_1,wind_offshore_FR,electricity,co2,0.29915267089282227
ESP_1,wind_offshore_FR,electricity,monetary,0.11313604482968595
ESP_1,wind_offshore_FR,electricity,vul,4.310929920350783e-06
ESP_1,wind_offshore_IND,electricity,co2,0.9883745847784646
ESP_1,wind_offshore_IND,electricity,monetary,0.37379588913527395
ESP_1,wind_offshore_IND,electricity,vul,3.7057191348792898e-06
ESP_1,wind_offshore_NDL,electricity,co2,0.1582384390168181
ESP_1,wind_offshore_NDL,electricity,monetary,0.05984380353558754
ESP_1,wind_offshore_NDL,electricity,vul,4.434188169501152e-06
ESP_1,wind_offshore_PT,electricity,co2,0.27286471265757584
ESP_1,wind_offshore_PT,electricity,monetary,0.10319105477091614
ESP_1,wind_offshore_PT,electricity,vul,4.3339376216260456e-06
ESP_1,wind_onshore_competing_CN,electricity,co2,2.9370850808309883
ESP_1,wind_onshore_competing_CN,electricity,monetary,1.1107627220734109
ESP_1,wind_onshore_competing_CN,electricity,vul,1.1154476020018184e-05
ESP_1,wind_onshore_competing_DE,electricity,co2,1.2620526256455442
ESP_1,wind_onshore_competing_DE,electricity,monetary,0.47728565693381325
ESP_1,wind_onshore_competing_DE,electricity,vul,1.3764943673467533e-05
ESP_1,wind_onshore_competing_ESP,electricity,co2,1.553194475235651
ESP_1,wind_onshore_competing_ESP,electricity,monetary,13.675417101740937
ESP_1,wind_onshore_competing_ESP,electricity,vul,1.1026103357774553e-07
ESP_1,wind_onshore_competing_FR,electricity,co2,0.986218155368828
ESP_1,wind_onshore_competing_FR,electricity,monetary,0.3729761833804006
ESP_1,wind_onshore_competing_FR,electricity,vul,1.4211864936000633e-05
ESP_1,wind_onshore_competing_IND,electricity,co2,1.7933867067681706
ESP_1,wind_onshore_competing_IND,electricity,monetary,0.6782454637580999
ESP_1,wind_onshore_competing_IND,electricity,vul,6.723956218480221e-06
ESP_1,wind_onshore_competing_NDL,electricity,co2,0.5336848823012246
ESP_1,wind_onshore_competing_NDL,electricity,monetary,0.2018329645109378
ESP_1,wind_onshore_competing_NDL,electricity,vul,1.4955021081130543e-05
ESP_1,wind_onshore_competing_PT,electricity,co2,0.9032866912584114
ESP_1,wind_onshore_competing_PT,electricity,monetary,0.34160190785995515
ESP_1,wind_onshore_competing_PT,electricity,vul,1.434699319025431e-05
ESP_1,wind_onshore_monopoly_CN,electricity,co2,2.841862844790877
ESP_1,wind_onshore_monopoly_CN,electricity,monetary,1.074751061806523
ESP_1,wind_onshore_monopoly_CN,electricity,vul,1.0792840548368377e-05
ESP_1,wind_onshore_monopoly_DE,electricity,co2,1.3098677238700784
ESP_1,wind_onshore_monopoly_DE,electricity,monetary,0.49536846909529375
ESP_1,wind_onshore_monopoly_DE,electricity,vul,1.4286452935781673e-05
ESP_1,wind_onshore_monopoly_ESP,electricity,co2,0.564389259847704
ESP_1,wind_onshore_monopoly_ESP,electricity,monetary,0.21344497704715054
ESP_1,wind_onshore_monopoly_ESP,electricity,vul,1.5815425092408902e-05
ESP_1,wind_onshore_monopoly_FR,electricity,co2,1.0317919083688702
ESP_1,wind_onshore_monopoly_FR,electricity,monetary,0.39021164428095556
ESP_1,wind_onshore_monopoly_FR,electricity,vul,1.4868604034482379e-05
ESP_1,wind_onshore_monopoly_IND,electricity,co2,2.864517288683027
ESP_1,wind_onshore_monopoly_IND,electricity,monetary,1.0833390531856242
ESP_1,wind_onshore_monopoly_IND,electricity,vul,1.0739952941267217e-05
ESP_1,wind_onshore_monopoly_NDL,electricity,co2,1.707659840668514
ESP_1,wind_onshore_monopoly_NDL,electricity,monetary,3.25491819237857
ESP_1,wind_onshore_monopoly_NDL,electricity,vul,8.982454637818796e-06
ESP_1,wind_onshore_monopoly_PT,electricity,co2,0.9470577311627697
ESP_1,wind_onshore_monopoly_PT,electricity,monetary,0.35815509178820754
ESP_1,wind_onshore_monopoly_PT,electricity,vul,1.50422130108445e-05
ESP_10,ESP_10_ESP_11_ac_ohl_transmission,electricity,monetary,30.88280606289485
ESP_10,ESP_8_ESP_10_ac_ohl_transmission,electricity,monetary,36.350359811225424
ESP_10,ESP_9_ESP_10_ac_ohl_transmission,electricity,monetary,35.89641792649192
ESP_10,Trade_Markets_ESP_10_natural_gas_transmission,natural_gas,monetary,0.0
ESP_10,battery_CN,electricity,co2,13.232450247978875
ESP_10,battery_CN,electricity,monetary,5.004573999004173
ESP_10,battery_CN,electricity,vul,0.00017013101709967954
ESP_10,battery_CZ,electricity,co2,11.615167454722915
ESP_10,battery_CZ,electricity,monetary,4.392707134534985
ESP_10,battery_CZ,electricity,vul,0.0001272142234154354
ESP_10,battery_ESP,electricity,co2,1.7697520512958045
ESP_10,battery_ESP,electricity,monetary,15.583250195922878
ESP_10,battery_ESP,electricity,vul,0.00015311922921749477
ESP_10,battery_HU,electricity,co2,10.841403186352233
ESP_10,battery_HU,electricity,monetary,4.100011474457363
ESP_10,battery_HU,electricity,vul,0.00010676557144048129
ESP_10,battery_PL,electricity,co2,11.479742739709469
ESP_10,battery_PL,electricity,monetary,4.341434476988123
ESP_10,battery_PL,electricity,vul,0.00012362419491395078
ESP_10,battery_US,electricity,co2,12.551166499963571
ESP_10,battery_US,electricity,monetary,4.746525652535167
ESP_10,battery_US,electricity,vul,0.00015205425591155713
ESP_10,biogas_to_electricity_supply_BEL,electricity,co2,4.997917631662999
ESP_10,biogas_to_electricity_supply_BEL,electricity,monetary,1.8901569277081678
ESP_10,biogas_to_electricity_supply_BEL,electricity,vul,9.85945922334864e-06
