nodes,techs,costs,cost_investment_storage_cap
ESP_1,battery_CN,monetary,10.765074699730244
ESP_1,battery_CZ,monetary,9.614090920704
ESP_1,battery_ESP,monetary,10.302571706166203
ESP_1,battery_HU,monetary,9.127492781810398
ESP_1,battery_PL,monetary,9.524005241471313
ESP_1,battery_US,monetary,10.273576827996585
ESP_10,battery_CN,monetary,7.9763500213943255
ESP_10,battery_CZ,monetary,7.870333539034578
ESP_10,battery_ESP,monetary,7.934186305234609
ESP_10,battery_HU,monetary,7.8216512461175425
ESP_10,battery_PL,monetary,7.8616432965457665
ESP_10,battery_US,monetary,7.931547845548476
ESP_11,battery_CN,monetary,7.65700310282623
ESP_11,battery_CZ,monetary,7.656953460131744
ESP_11,battery_ESP,monetary,7.656990556625558
ESP_11,battery_HU,monetary,7.656908244466788
ESP_11,battery_PL,monetary,7.656945643475408
ESP_11,battery_US,monetary,7.656989502606792
ESP_2,battery_CN,monetary,7.8315603759213905
ESP_2,battery_CZ,monetary,7.806202193894788
ESP_2,battery_ESP,monetary,7.822603898819742
ESP_2,battery_HU,monetary,7.790220024140825
ESP_2,battery_PL,monetary,7.803614692430566
ESP_2,battery_US,monetary,7.822000029151228
ESP_3,battery_CN,monetary,8.258181663949726
ESP_3,battery_CZ,monetary,8.050155941987702
ESP_3,battery_ESP,monetary,8.173010421691746
ESP_3,battery_HU,monetary,7.959935793062023
ESP_3,battery_PL,monetary,8.033852163452334
ESP_3,battery_US,monetary,8.167790152176897
ESP_4,battery_CN,monetary,8.412814873603772
ESP_4,battery_CZ,monetary,8.16629213397956
ESP_4,battery_ESP,monetary,8.312106926611824
ESP_4,battery_HU,monetary,8.058615356880432
ESP_4,battery_PL,monetary,8.146895674242982
ESP_4,battery_US,monetary,8.305913236329623
ESP_5,battery_CN,monetary,9.175354422621695
ESP_5,battery_CZ,monetary,8.84688905387578
ESP_5,battery_ESP,monetary,9.055944563265697
ESP_5,battery_HU,monetary,8.657687314912081
ESP_5,battery_PL,monetary,8.815229260595277
ESP_5,battery_US,monetary,9.04801153010081
ESP_6,battery_CN,monetary,8.315839708500636
ESP_6,battery_CZ,monetary,8.133322831259648
ESP_6,battery_ESP,monetary,8.243273167572244
ESP_6,battery_HU,monetary,8.048989707038153
ESP_6,battery_PL,monetary,8.118306272097696
ESP_6,battery_US,monetary,8.238727115088214
ESP_7,battery_CN,monetary,7.656414918868147
ESP_7,battery_CZ,monetary,7.659682798835007
ESP_7,battery_ESP,monetary,7.657452058403813
ESP_7,battery_HU,monetary,7.662210393478131
ESP_7,battery_PL,monetary,7.660073088589859
ESP_7,battery_US,monetary,7.657528101653816
ESP_8,battery_CN,monetary,7.6620067085329895
ESP_8,battery_CZ,monetary,7.661695285753907
ESP_8,battery_ESP,monetary,7.661901215712517
ESP_8,battery_HU,monetary,7.661475237446456
ESP_8,battery_PL,monetary,7.66166107826118
ESP_8,battery_US,monetary,7.661893938390784
ESP_9,battery_CN,monetary,8.776211617123565
ESP_9,battery_CZ,monetary,8.424520342092357
ESP_9,battery_ESP,monetary,8.635711643844193
ESP_9,battery_HU,monetary,8.261369897599238
ESP_9,battery_PL,monetary,8.39561724865593
ESP_9,battery_US,monetary,8.626954361703671
