nodes,techs,costs,cost_operation_fixed
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,monetary,0.0
ESP_1,battery_CN,monetary,0.07775741512280322
ESP_1,battery_CZ,monetary,0.06066764474224727
ESP_1,battery_ESP,monetary,0.07141502373755698
ESP_1,battery_HU,monetary,0.05127525799313319
ESP_1,battery_PL,monetary,0.05907112059254949
ESP_1,battery_US,monetary,0.07099984478837414
ESP_1,biogas_to_electricity_supply_BEL,monetary,0.003282353936307992
ESP_1,biogas_to_electricity_supply_CAN,monetary,0.00011543010446505416
ESP_1,biogas_to_electricity_supply_FR,monetary,9.899049452623058e-05
ESP_1,biogas_to_electricity_supply_FSM,monetary,0.00020255700164148308
ESP_1,biogas_to_electricity_supply_UK,monetary,0.00014377147692566446
ESP_1,biogas_to_electricity_supply_USA,monetary,0.00020080209668255818
ESP_1,biomass_ESP,monetary,0.0049628403629587816
ESP_1,biomass_FR,monetary,0.004966458523613759
ESP_1,biomass_IT,monetary,0.00494291612316776
ESP_1,existing_biogas_to_electricity_supply,monetary,7325.6911879452055
ESP_1,existing_biomass,monetary,351297.5621917807
ESP_1,existing_ccgt,monetary,0.01159344822547297
ESP_1,existing_chp,monetary,1166038.381589041
ESP_1,existing_coal,monetary,0.008251808573117803
ESP_1,existing_hydro_run_of_river,monetary,966817.8082191779
ESP_1,existing_nuclear,monetary,0.0
ESP_1,existing_oil_and_other,monetary,0.0
ESP_1,existing_open_field_pv,monetary,6215.013698630137
ESP_1,existing_pumped_hydro,monetary,119703.97808219178
ESP_1,existing_rooftop_pv,monetary,297.39726027397256
ESP_1,existing_wind_onshore,monetary,1719730.8369863012
ESP_1,existing_wte,monetary,0.009194382225725911
ESP_1,open_field_pv_CN,monetary,0.002389451215701968
ESP_1,open_field_pv_DE,monetary,0.010611983048960239
ESP_1,open_field_pv_ESP,monetary,0.002521316588947671
ESP_1,open_field_pv_MY,monetary,0.009299799589551187
ESP_1,open_field_pv_NL,monetary,0.012035416422516841
ESP_1,open_field_pv_PT,monetary,0.006468707736490909
ESP_1,pumped_hydro_CN,monetary,27812.35858194053
ESP_1,pumped_hydro_ESP,monetary,0.004438269290468057
ESP_1,roof_mounted_pv_CN,monetary,0.00222879342891167
ESP_1,roof_mounted_pv_DE,monetary,0.0019468709324146523
ESP_1,roof_mounted_pv_ESP,monetary,0.0007785088760161322
ESP_1,roof_mounted_pv_MY,monetary,0.0018178641031170381
ESP_1,roof_mounted_pv_NL,monetary,0.002072230499433003
ESP_1,roof_mounted_pv_PT,monetary,0.0014801467560532524
ESP_1,wind_offshore_CN,monetary,0.006613879631713959
ESP_1,wind_offshore_DE,monetary,0.007536667661184013
ESP_1,wind_offshore_ESP,monetary,8.273314338414052e-05
ESP_1,wind_offshore_FR,monetary,0.007675344980929206
ESP_1,wind_offshore_IND,monetary,0.006597804484911384
ESP_1,wind_offshore_NDL,monetary,0.007894798695430187
ESP_1,wind_offshore_PT,monetary,0.007716308774766855
ESP_1,wind_onshore_competing_CN,monetary,0.01018428719998445
ESP_1,wind_onshore_competing_DE,monetary,0.01256770281370633
ESP_1,wind_onshore_competing_ESP,monetary,0.00010067080075367437
ESP_1,wind_onshore_competing_FR,monetary,0.012975751966821934
ESP_1,wind_onshore_competing_IND,monetary,0.006139123086214884
ESP_1,wind_onshore_competing_NDL,monetary,0.013654270222888254
ESP_1,wind_onshore_competing_PT,monetary,0.013099127098713583
ESP_1,wind_onshore_monopoly_CN,monetary,0.00985410588995484
ESP_1,wind_onshore_monopoly_DE,monetary,0.013043852486297636
ESP_1,wind_onshore_monopoly_ESP,monetary,0.01443983841480976
ESP_1,wind_onshore_monopoly_FR,monetary,0.013575369517874419
ESP_1,wind_onshore_monopoly_IND,monetary,0.00980581831651154
