nodes,techs,costs,timesteps,cost_operation_variable
ESP_1,existing_hydro_reservoir,monetary,2018-01-01 00:00:00,0.0001234719278935682
ESP_1,existing_hydro_reservoir,monetary,2018-01-01 03:00:00,0.0001235208116434649
ESP_1,existing_hydro_reservoir,monetary,2018-01-01 06:00:00,0.00012380785075648195
ESP_1,existing_hydro_reservoir,monetary,2018-01-01 09:00:00,0.00012521245127465266
ESP_1,existing_hydro_reservoir,monetary,2018-01-01 12:00:00,0.00012545346791916523
ESP_1,existing_hydro_reservoir,monetary,2018-01-01 15:00:00,0.00012430382088016203
ESP_1,existing_hydro_reservoir,monetary,2018-01-01 18:00:00,0.00012333572092237724
ESP_1,existing_hydro_reservoir,monetary,2018-01-01 21:00:00,0.00012271123655404308
ESP_1,existing_hydro_reservoir,monetary,2018-01-02 00:00:00,0.00012301581184475454
ESP_1,existing_hydro_reservoir,monetary,2018-01-02 03:00:00,0.00012339192433123586
ESP_1,existing_hydro_reservoir,monetary,2018-01-02 06:00:00,0.000124285067720623
ESP_1,existing_hydro_reservoir,monetary,2018-01-02 09:00:00,0.0001235007863507011
ESP_1,existing_hydro_reservoir,monetary,2018-01-02 12:00:00,0.0001225449670428848
ESP_1,existing_hydro_reservoir,monetary,2018-01-02 15:00:00,0.0001215678270278374
ESP_1,existing_hydro_reservoir,monetary,2018-01-02 18:00:00,0.00012248689162587209
ESP_1,existing_hydro_reservoir,monetary,2018-01-02 21:00:00,0.0001224731586884251
ESP_1,existing_hydro_reservoir,monetary,2018-01-03 00:00:00,0.0001226806154458327
ESP_1,existing_hydro_reservoir,monetary,2018-01-03 03:00:00,0.00012217157275195846
ESP_1,existing_hydro_reservoir,monetary,2018-01-03 06:00:00,0.00012014349541374723
ESP_1,existing_hydro_reservoir,monetary,2018-01-03 09:00:00,0.00011880529497085109
ESP_1,existing_hydro_reservoir,monetary,2018-01-03 12:00:00,0.00011968510141399153
ESP_1,existing_hydro_reservoir,monetary,2018-01-03 15:00:00,0.0001187088794363429
ESP_1,existing_hydro_reservoir,monetary,2018-01-03 18:00:00,0.00012006118962829123
ESP_1,existing_hydro_reservoir,monetary,2018-01-03 21:00:00,0.00011981379417469278
ESP_1,existing_hydro_reservoir,monetary,2018-01-04 00:00:00,0.00011954062516907898
ESP_1,existing_hydro_reservoir,monetary,2018-01-04 03:00:00,0.00011968742114940508
ESP_1,existing_hydro_reservoir,monetary,2018-01-04 06:00:00,0.00011993200047429839
ESP_1,existing_hydro_reservoir,monetary,2018-01-04 09:00:00,0.00012040701903650355
ESP_1,existing_hydro_reservoir,monetary,2018-01-04 12:00:00,0.00012114213973608335
ESP_1,existing_hydro_reservoir,monetary,2018-01-04 15:00:00,0.00012044301267759541
ESP_1,existing_hydro_reservoir,monetary,2018-01-04 18:00:00,0.00012082310399502133
ESP_1,existing_hydro_reservoir,monetary,2018-01-04 21:00:00,0.00012199913783273437
ESP_1,existing_hydro_reservoir,monetary,2018-01-05 00:00:00,0.00012587718319239343
ESP_1,existing_hydro_reservoir,monetary,2018-01-05 03:00:00,0.00012897239299068105
ESP_1,existing_hydro_reservoir,monetary,2018-01-05 06:00:00,0.0001264314331499688
ESP_1,existing_hydro_reservoir,monetary,2018-01-05 09:00:00,2182.0040286940916
ESP_1,existing_hydro_reservoir,monetary,2018-01-05 12:00:00,0.00011942216510348971
ESP_1,existing_hydro_reservoir,monetary,2018-01-05 15:00:00,0.0001169005015228569
ESP_1,existing_hydro_reservoir,monetary,2018-01-05 18:00:00,1239.8360319346875
ESP_1,existing_hydro_reservoir,monetary,2018-01-05 21:00:00,8627.90152337709
ESP_1,existing_hydro_reservoir,monetary,2018-01-06 00:00:00,8865.05003435509
ESP_1,existing_hydro_reservoir,monetary,2018-01-06 03:00:00,9515.903200793982
ESP_1,existing_hydro_reservoir,monetary,2018-01-06 06:00:00,11275.88958559026
ESP_1,existing_hydro_reservoir,monetary,2018-01-06 09:00:00,12810.810852462284
ESP_1,existing_hydro_reservoir,monetary,2018-01-06 12:00:00,0.00011322617251650194
ESP_1,existing_hydro_reservoir,monetary,2018-01-06 15:00:00,430.5755218221626
ESP_1,existing_hydro_reservoir,monetary,2018-01-06 18:00:00,0.00011389278091405991
ESP_1,existing_hydro_reservoir,monetary,2018-01-06 21:00:00,323.40018453829794
ESP_1,existing_hydro_reservoir,monetary,2018-01-07 00:00:00,0.00011401322481516881
ESP_1,existing_hydro_reservoir,monetary,2018-01-07 03:00:00,0.00011622725920838392
