nodes,techs,carriers,flow_cap
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,0.0005584993805058816
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,0.00047815696946192175
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,1.1112453067743938e-06
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,6.75184815617831e-06
ESP_1,battery_CN,electricity,0.00035038835209658245
ESP_1,battery_CZ,electricity,0.00027337889297432416
ESP_1,battery_ESP,electricity,0.00032180844029886793
ESP_1,battery_HU,electricity,0.00023105517490732861
ESP_1,battery_PL,electricity,0.00026618467921334034
ESP_1,battery_US,electricity,0.00031993757219452544
ESP_1,biogas_to_electricity_supply_BEL,electricity,1.2114620423053007e-05
ESP_1,biogas_to_electricity_supply_CAN,electricity,4.260332456896483e-07
ESP_1,biogas_to_electricity_supply_FR,electricity,3.6535738983239944e-07
ESP_1,biogas_to_electricity_supply_FSM,electricity,7.476040782117642e-07
ESP_1,biogas_to_electricity_supply_UK,electricity,5.306365201356874e-07
ESP_1,biogas_to_electricity_supply_USA,electricity,7.411270169720425e-07
ESP_1,biomass_ESP,electricity,1.216773162373222e-06
ESP_1,biomass_FR,electricity,1.2176602513102327e-06
ESP_1,biomass_IT,electricity,1.2118882016480396e-06
ESP_1,demand_tech,electricity,2592.485899354244
ESP_1,existing_biogas_to_electricity_supply,electricity,25.79
ESP_1,existing_biomass,electricity,78.3
ESP_1,existing_ccgt,electricity,6.790822226682798e-06
ESP_1,existing_ccgt,natural_gas,6.790822226682818e-06
ESP_1,existing_chp,electricity,2001.2
ESP_1,existing_chp,natural_gas,2001.2
ESP_1,existing_coal,coal,4.3874184678945565e-06
ESP_1,existing_coal,electricity,4.3874184678945565e-06
ESP_1,existing_hydro_reservoir,electricity,2824.48
ESP_1,existing_hydro_run_of_river,electricity,235.259
ESP_1,existing_nuclear,electricity,0.0
ESP_1,existing_nuclear,uranium,0.0
ESP_1,existing_oil_and_other,electricity,0.0
ESP_1,existing_oil_and_other,oil,0.0
ESP_1,existing_open_field_pv,electricity,16.68
ESP_1,existing_pumped_hydro,electricity,513.6
ESP_1,existing_rooftop_pv,electricity,0.65
ESP_1,existing_wind_onshore,electricity,3828.15
ESP_1,existing_wte,electricity,1.2045602812848348e-06
ESP_1,open_field_pv_CN,electricity,9.180523091907562e-06
ESP_1,open_field_pv_DE,electricity,4.07723559249525e-05
ESP_1,open_field_pv_ESP,electricity,9.687163736483157e-06
ESP_1,open_field_pv_MY,electricity,3.5730808949328244e-05
ESP_1,open_field_pv_NL,electricity,4.624133678124892e-05
ESP_1,open_field_pv_PT,electricity,2.4853456040201913e-05
ESP_1,pumped_hydro_CN,electricity,119.3312669849335
ESP_1,pumped_hydro_ESP,electricity,1.6023425232649266e-06
ESP_1,roof_mounted_pv_CN,electricity,1.0297589893072906e-05
ESP_1,roof_mounted_pv_DE,electricity,8.995036586472761e-06
ESP_1,roof_mounted_pv_ESP,electricity,3.5969080980492183e-06
ESP_1,roof_mounted_pv_MY,electricity,8.398992375161e-06
ESP_1,roof_mounted_pv_NL,electricity,9.574229522696788e-06
ESP_1,roof_mounted_pv_PT,electricity,6.838652733663762e-06
ESP_1,wind_offshore_CN,electricity,7.429495785478704e-06
ESP_1,wind_offshore_DE,electricity,8.466080990773905e-06
ESP_1,wind_offshore_ESP,electricity,0.0
ESP_1,wind_offshore_FR,electricity,8.621859840701566e-06
ESP_1,wind_offshore_IND,electricity,7.4114382697585795e-06
ESP_1,wind_offshore_NDL,electricity,8.868376339002303e-06
ESP_1,wind_offshore_PT,electricity,8.667875243252091e-06
ESP_1,wind_onshore_competing_CN,electricity,2.230895204003637e-05
ESP_1,wind_onshore_competing_DE,electricity,2.7529887346935066e-05
ESP_1,wind_onshore_competing_ESP,electricity,2.2052206715549105e-07
ESP_1,wind_onshore_competing_FR,electricity,2.8423729872001266e-05
ESP_1,wind_onshore_competing_IND,electricity,1.3447912436960442e-05
ESP_1,wind_onshore_competing_NDL,electricity,2.9910042162261085e-05
ESP_1,wind_onshore_competing_PT,electricity,2.869398638050862e-05
ESP_1,wind_onshore_monopoly_CN,electricity,2.1585681096736753e-05
ESP_1,wind_onshore_monopoly_DE,electricity,2.8572905871563346e-05
ESP_1,wind_onshore_monopoly_ESP,electricity,3.1630850184817804e-05
ESP_1,wind_onshore_monopoly_FR,electricity,2.9737208068964758e-05
ESP_1,wind_onshore_monopoly_IND,electricity,2.1479905882534434e-05
ESP_1,wind_onshore_monopoly_NDL,electricity,1.7964909275637592e-05
ESP_1,wind_onshore_monopoly_PT,electricity,3.0084426021689e-05
ESP_10,ESP_10_ESP_11_ac_ohl_transmission,electricity,0.0003529463550045126
ESP_10,ESP_8_ESP_10_ac_ohl_transmission,electricity,0.000415432683556862
ESP_10,ESP_9_ESP_10_ac_ohl_transmission,electricity,0.00041024477630276484
ESP_10,Trade_Markets_ESP_10_natural_gas_transmission,natural_gas,157.96957635160067
ESP_10,battery_CN,electricity,0.0003402620341993591
ESP_10,battery_CZ,electricity,0.0002544284468308708
ESP_10,battery_ESP,electricity,0.00030623845843498953
ESP_10,battery_HU,electricity,0.00021353114288096258
ESP_10,battery_PL,electricity,0.00024724838982790156
ESP_10,battery_US,electricity,0.00030410851182311426
ESP_10,biogas_to_electricity_supply_BEL,electricity,1.971891844669728e-05
ESP_10,biogas_to_electricity_supply_CAN,electricity,4.282775997298569e-07
ESP_10,biogas_to_electricity_supply_FR,electricity,3.6687530022350024e-07
ESP_10,biogas_to_electricity_supply_FSM,electricity,7.591658780129947e-07
ESP_10,biogas_to_electricity_supply_UK,electricity,5.348218284005817e-07
ESP_10,biogas_to_electricity_supply_USA,electricity,7.523977434192887e-07
ESP_10,biomass_ESP,electricity,1.277456634039559e-06
ESP_10,biomass_FR,electricity,1.278446659219758e-06
ESP_10,biomass_IT,electricity,1.2720067144525996e-06
ESP_10,demand_tech,electricity,2216.014847944396
ESP_10,existing_biogas_to_electricity_supply,electricity,2.07
ESP_10,existing_biomass,electricity,6.28
ESP_10,existing_ccgt,electricity,6.487294510425522e-06
ESP_10,existing_ccgt,natural_gas,6.487294510425522e-06
ESP_10,existing_chp,electricity,3252.0
ESP_10,existing_chp,natural_gas,3252.0
ESP_10,existing_coal,coal,0.0
ESP_10,existing_coal,electricity,0.0
ESP_10,existing_hydro_reservoir,electricity,0.0
ESP_10,existing_hydro_run_of_river,electricity,24.17
ESP_10,existing_nuclear,electricity,0.0
ESP_10,existing_nuclear,uranium,0.0
ESP_10,existing_oil_and_other,electricity,0.0
ESP_10,existing_oil_and_other,oil,0.0
ESP_10,existing_open_field_pv,electricity,420.69
