nodes,techs,carriers,timesteps,flow_in
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 00:00:00,0.0012058767377886304
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 03:00:00,0.0011703709207005978
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 06:00:00,0.001011559556794185
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 09:00:00,0.0010506573263876114
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 12:00:00,0.0010315417637826304
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 15:00:00,0.0010961970114594932
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 18:00:00,0.0012401527913866277
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 21:00:00,0.0012432016207296025
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 00:00:00,0.0012194340828754358
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 03:00:00,0.0012116377659667794
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 06:00:00,0.0012293251056018622
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 09:00:00,0.0012545431429819565
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 12:00:00,0.0012546963831150774
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 15:00:00,0.0012551424238801227
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 18:00:00,0.0012516170858040392
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 21:00:00,0.0012438532527949183
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 00:00:00,0.0012366296145489373
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 03:00:00,0.0012431920863170617
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 06:00:00,0.0012589878517575669
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 09:00:00,0.0012598616801199562
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 12:00:00,0.0012567507888231882
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 15:00:00,0.0012600139464734612
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 18:00:00,0.0012521472475218853
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 21:00:00,0.0012521663624902764
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-04 00:00:00,0.0012514888661332157
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-04 03:00:00,0.0012493060762248653
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-04 06:00:00,0.0012464898665158156
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-04 09:00:00,0.0012367380665723772
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-04 12:00:00,0.0011093288189029417
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-04 15:00:00,0.001228246325627777
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-04 18:00:00,0.0012104681060123319
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-04 21:00:00,0.0012092489004110057
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-05 00:00:00,0.0010826476634000657
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-05 03:00:00,0.001128124055219771
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-05 06:00:00,0.001222863012199019
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-05 09:00:00,1.8663268701330535e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-05 12:00:00,0.0012615389679309832
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-05 15:00:00,0.0012480025715710195
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-05 18:00:00,5.0810993065181285e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-05 21:00:00,1.5774446494781118e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-06 00:00:00,1.4485560487428707e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-06 03:00:00,1.5768325034874763e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-06 06:00:00,2.2228772520650237e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-06 09:00:00,2.2740181566260198e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-06 12:00:00,0.0009838854129888847
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-06 15:00:00,0.00010089090957444557
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-06 18:00:00,0.001101051882971802
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-06 21:00:00,2.538360043898488e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-07 00:00:00,0.001253663081700971
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-07 03:00:00,0.0012471774228483556
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-07 06:00:00,0.0012470001139533744
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-07 09:00:00,0.0012511592178028538
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-07 12:00:00,0.001236472395030443
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-07 15:00:00,0.0012608007512815867
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-07 18:00:00,0.0012511595355858777
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-07 21:00:00,0.00024852230994677846
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 00:00:00,7.282241827827579e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 03:00:00,2.6469775251082155e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 06:00:00,3.191414579393047e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 09:00:00,3.616211719614104e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 12:00:00,3.5366470541327256e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 15:00:00,3.647540966527312e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 18:00:00,2.4892729142860854e-05
