nodes,techs,source_cap
ESP_1,biogas_to_electricity_supply_BEL,1.0910582147642797e-05
ESP_1,biogas_to_electricity_supply_CAN,2.4077869135386515e-07
ESP_1,biogas_to_electricity_supply_FR,2.0388837525686273e-07
ESP_1,biogas_to_electricity_supply_FSM,4.479773718154818e-07
ESP_1,biogas_to_electricity_supply_UK,3.0611410244994394e-07
ESP_1,biogas_to_electricity_supply_USA,4.436273381208703e-07
ESP_1,biomass_ESP,8.555195163722072e-07
ESP_1,biomass_FR,8.561994828435916e-07
ESP_1,biomass_IT,8.51776243765099e-07
ESP_1,existing_biogas_to_electricity_supply,70.8533110353223
ESP_1,existing_biomass,78.29999999999998
ESP_1,existing_hydro_reservoir,321.54383405036583
ESP_1,existing_hydro_run_of_river,0.0
ESP_1,existing_open_field_pv,16.68
ESP_1,existing_rooftop_pv,0.65
ESP_1,existing_wind_onshore,3006.046053080151
ESP_1,existing_wte,7.542062790906047e-07
ESP_1,open_field_pv_CN,0.0
ESP_1,open_field_pv_DE,3.9087144115742276e-05
ESP_1,open_field_pv_ESP,8.54606872759467e-06
ESP_1,open_field_pv_MY,3.4074509379333675e-05
ESP_1,open_field_pv_NL,4.452530937617829e-05
ESP_1,open_field_pv_PT,2.331352379739745e-05
ESP_1,pumped_hydro_ESP,1.073402514516662e-06
ESP_1,roof_mounted_pv_CN,0.0
ESP_1,roof_mounted_pv_DE,0.0
ESP_1,roof_mounted_pv_ESP,0.0
ESP_1,roof_mounted_pv_MY,0.0
ESP_1,roof_mounted_pv_NL,0.0
ESP_1,roof_mounted_pv_PT,0.0
ESP_1,wind_offshore_CN,3.848533366622781e-06
ESP_1,wind_offshore_DE,4.528073206634366e-06
ESP_1,wind_offshore_ESP,0.0
ESP_1,wind_offshore_FR,4.630807255868494e-06
ESP_1,wind_offshore_IND,3.83677890326258e-06
ESP_1,wind_offshore_NDL,4.793600097966356e-06
ESP_1,wind_offshore_PT,4.661175452569982e-06
ESP_1,wind_onshore_competing_CN,7.512745488477067e-06
ESP_1,wind_onshore_competing_DE,9.273173234449734e-06
ESP_1,wind_onshore_competing_ESP,0.0
ESP_1,wind_onshore_competing_FR,9.580373426455763e-06
ESP_1,wind_onshore_competing_IND,4.986875666819013e-06
ESP_1,wind_onshore_competing_NDL,1.008145345581863e-05
ESP_1,wind_onshore_competing_PT,9.671475735568899e-06
ESP_1,wind_onshore_monopoly_CN,8.723768291457503e-06
ESP_1,wind_onshore_monopoly_DE,1.1862642030612772e-05
ESP_1,wind_onshore_monopoly_ESP,1.3238444221671343e-05
ESP_1,wind_onshore_monopoly_FR,1.2407662355735992e-05
ESP_1,wind_onshore_monopoly_IND,8.677767557050193e-06
ESP_1,wind_onshore_monopoly_NDL,7.169433659473541e-06
ESP_1,wind_onshore_monopoly_PT,1.2559755306685653e-05
ESP_10,biogas_to_electricity_supply_BEL,1.9108458963189496e-05
ESP_10,biogas_to_electricity_supply_CAN,2.648631182950699e-07
ESP_10,biogas_to_electricity_supply_FR,2.219741543246215e-07
ESP_10,biogas_to_electricity_supply_FSM,5.140269876672594e-07
ESP_10,biogas_to_electricity_supply_UK,3.4172153132047705e-07
ESP_10,biogas_to_electricity_supply_USA,5.086467059979942e-07
ESP_10,biomass_ESP,9.938765374071453e-07
ESP_10,biomass_FR,9.94741771593914e-07
ESP_10,biomass_IT,9.891150776600436e-07
ESP_10,existing_biogas_to_electricity_supply,8.094970345237755
ESP_10,existing_biomass,6.279999999999999
ESP_10,existing_hydro_reservoir,0.0
ESP_10,existing_hydro_run_of_river,0.0
ESP_10,existing_open_field_pv,420.68999999999994
ESP_10,existing_rooftop_pv,16.41
ESP_10,existing_wind_onshore,198.91820816601773
ESP_10,existing_wte,4.759517098035064e-07
ESP_10,open_field_pv_CN,0.0
ESP_10,open_field_pv_DE,0.0001755999832215867
ESP_10,open_field_pv_ESP,9.168365148990091e-06
ESP_10,open_field_pv_MY,8.893429068528971e-05
ESP_10,open_field_pv_NL,1162.8312512416333
ESP_10,open_field_pv_PT,3.570246808036466e-05
ESP_10,pumped_hydro_ESP,1.3178371948794876e-06
ESP_10,roof_mounted_pv_CN,0.0
ESP_10,roof_mounted_pv_DE,0.0
ESP_10,roof_mounted_pv_ESP,0.0
ESP_10,roof_mounted_pv_MY,0.0
ESP_10,roof_mounted_pv_NL,0.0
ESP_10,roof_mounted_pv_PT,0.0
ESP_10,wind_offshore_CN,4.797356644792707e-06
ESP_10,wind_offshore_DE,5.6691756172763435e-06
ESP_10,wind_offshore_ESP,0.0
ESP_10,wind_offshore_FR,5.8027803725297896e-06
ESP_10,wind_offshore_IND,4.782432100667543e-06
ESP_10,wind_offshore_NDL,6.015586412157839e-06
ESP_10,wind_offshore_PT,5.842374781482331e-06
ESP_10,wind_onshore_competing_CN,1.324381232157199e-05
ESP_10,wind_onshore_competing_DE,1.6488319137933577e-05
ESP_10,wind_onshore_competing_ESP,0.0
ESP_10,wind_onshore_competing_FR,1.7046109745695603e-05
ESP_10,wind_onshore_competing_IND,6.692263423041067e-06
ESP_10,wind_onshore_competing_NDL,1.7976051793255796e-05
ESP_10,wind_onshore_competing_PT,1.721509863217177e-05
ESP_10,wind_onshore_monopoly_CN,6.724589636159675e-06
ESP_10,wind_onshore_monopoly_DE,8.822572745521176e-06
ESP_10,wind_onshore_monopoly_ESP,9.788359922612036e-06
ESP_10,wind_onshore_monopoly_FR,9.18513221108521e-06
ESP_10,wind_onshore_monopoly_IND,6.692263423041067e-06
ESP_10,wind_onshore_monopoly_NDL,5.613779111412513e-06
ESP_10,wind_onshore_monopoly_PT,9.294927293332004e-06
ESP_11,biogas_to_electricity_supply_BEL,1.5257578753848431e-05
ESP_11,biogas_to_electricity_supply_CAN,2.3165793122436837e-07
ESP_11,biogas_to_electricity_supply_FR,1.9672135996043254e-07
ESP_11,biogas_to_electricity_supply_FSM,4.279776962262632e-07
ESP_11,biogas_to_electricity_supply_UK,2.9345765965945767e-07
ESP_11,biogas_to_electricity_supply_USA,4.238404580881045e-07
ESP_11,biomass_ESP,9.225358771427156e-07
ESP_11,biomass_FR,9.233144592434808e-07
ESP_11,biomass_IT,9.182511506726626e-07
ESP_11,existing_biogas_to_electricity_supply,13.846665611598235
ESP_11,existing_biomass,10.44
ESP_11,existing_hydro_reservoir,11.775406970758548
ESP_11,existing_hydro_run_of_river,0.0
ESP_11,existing_open_field_pv,334.52
ESP_11,existing_rooftop_pv,13.05
ESP_11,existing_wind_onshore,1054.3695753346665
ESP_11,existing_wte,6.431463031271035e-07
ESP_11,open_field_pv_CN,0.0
ESP_11,open_field_pv_DE,0.00015797247136651238
ESP_11,open_field_pv_ESP,7.804669045011304e-06
ESP_11,open_field_pv_MY,8.048491959209187e-05
ESP_11,open_field_pv_NL,1920.3509328703453
ESP_11,open_field_pv_PT,3.165503817031309e-05
ESP_11,pumped_hydro_ESP,1.0349608127998655e-06
ESP_11,roof_mounted_pv_CN,0.0
ESP_11,roof_mounted_pv_DE,0.0
ESP_11,roof_mounted_pv_ESP,0.0
ESP_11,roof_mounted_pv_MY,0.0
ESP_11,roof_mounted_pv_NL,0.0
ESP_11,roof_mounted_pv_PT,0.0
ESP_11,wind_offshore_CN,3.703227920320951e-06
ESP_11,wind_offshore_DE,4.414249414446563e-06
ESP_11,wind_offshore_ESP,0.0
ESP_11,wind_offshore_FR,4.525626170737057e-06
ESP_11,wind_offshore_IND,3.691292821032827e-06
ESP_11,wind_offshore_NDL,4.7043577745534375e-06
ESP_11,wind_offshore_PT,4.558757074142591e-06
ESP_11,wind_onshore_competing_CN,2.067614517727529e-05
ESP_11,wind_onshore_competing_DE,2.9246541772119704e-05
ESP_11,wind_onshore_competing_ESP,0.0
ESP_11,wind_onshore_competing_FR,3.088935277468401e-05
ESP_11,wind_onshore_competing_IND,9.24262764325261e-06
ESP_11,wind_onshore_competing_NDL,3.374004374757004e-05
ESP_11,wind_onshore_competing_PT,3.139746750146794e-05
