nodes,techs,timesteps,source_use
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 00:00:00,2.1078249585573838e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 03:00:00,2.1109563106458737e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 06:00:00,2.1057890696985377e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 09:00:00,2.1022619321154273e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 12:00:00,2.107777935894968e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 15:00:00,2.102610094653959e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 18:00:00,2.093735633002761e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 21:00:00,2.0941252797951722e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 00:00:00,2.097304358305316e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 03:00:00,2.096188866486815e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 06:00:00,2.089624823482355e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 09:00:00,2.06948592519432e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 12:00:00,2.065375058212581e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 15:00:00,2.062569862593591e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 18:00:00,2.0727527066455564e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 21:00:00,2.0776876036737935e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 00:00:00,2.075686524512612e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 03:00:00,2.065495756562916e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 06:00:00,2.048254224537173e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 09:00:00,2.038554761373527e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 12:00:00,2.0534232512455663e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 15:00:00,2.057270323913891e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 18:00:00,2.073759655173591e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 21:00:00,2.0775059070270678e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 00:00:00,2.078209255408181e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 03:00:00,2.0795348771728424e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 06:00:00,2.087694516100279e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 09:00:00,2.0945111259329275e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 12:00:00,2.1023225328589695e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 15:00:00,2.09828854172867e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 18:00:00,2.0969379417518476e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 21:00:00,2.0899845990789796e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 00:00:00,2.0802987205670775e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 03:00:00,2.0615682822320528e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 06:00:00,2.0230965577023083e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 09:00:00,3.273174644292839e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 12:00:00,2.02228461877784e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 15:00:00,2.0176823508623413e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 18:00:00,2.9831675290392418e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 21:00:00,3.136729965095737e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 00:00:00,3.1598164064684206e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 03:00:00,3.173773946095357e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 06:00:00,3.156443786449169e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 09:00:00,3.155854435397246e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 12:00:00,1.982153490407966e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 15:00:00,2.900275798126752e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 18:00:00,2.0300241705989376e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 21:00:00,3.238893602010176e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 00:00:00,2.034153343369308e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 03:00:00,2.0515902654062447e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 06:00:00,2.0443510301378906e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 09:00:00,2.042280805453152e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 12:00:00,2.0465971403535682e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 15:00:00,2.0186697714498508e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 18:00:00,1.985092977077176e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 21:00:00,2.3110368440202895e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 00:00:00,3.138747847837589e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 03:00:00,3.159507528284418e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 06:00:00,3.1104249097087906e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 09:00:00,3.1104952628066036e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 12:00:00,3.093574188364417e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 15:00:00,3.09615902284729e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 18:00:00,3.149682007859124e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 21:00:00,1.999262874246172e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 00:00:00,1.9958137994074976e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 03:00:00,2.0307774286537698e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 06:00:00,2.0470544741642418e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 09:00:00,2.064052886441108e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 12:00:00,2.0560153738791073e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 15:00:00,2.046025779803664e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 18:00:00,3.115193580566569e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 21:00:00,2.0713321799777936e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 00:00:00,2.029595471825509e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 03:00:00,2.0269896270003315e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 06:00:00,2.0460898971641462e-05
