techs,carriers,systemwide_capacity_factor
ESP_10_ESP_11_ac_ohl_transmission,coal,0.0
ESP_10_ESP_11_ac_ohl_transmission,electricity,2.2747186536836079e-07
ESP_10_ESP_11_ac_ohl_transmission,natural_gas,0.0
ESP_10_ESP_11_ac_ohl_transmission,oil,0.0
ESP_10_ESP_11_ac_ohl_transmission,uranium,0.0
ESP_1_ESP_2_ac_ohl_transmission,coal,0.0
ESP_1_ESP_2_ac_ohl_transmission,electricity,2.5117750849110745e-05
ESP_1_ESP_2_ac_ohl_transmission,natural_gas,0.0
ESP_1_ESP_2_ac_ohl_transmission,oil,0.0
ESP_1_ESP_2_ac_ohl_transmission,uranium,0.0
ESP_1_PRT_1_ac_ohl_transmission,coal,0.0
ESP_1_PRT_1_ac_ohl_transmission,electricity,8.215474533475464e-06
ESP_1_PRT_1_ac_ohl_transmission,natural_gas,0.0
ESP_1_PRT_1_ac_ohl_transmission,oil,0.0
ESP_1_PRT_1_ac_ohl_transmission,uranium,0.0
ESP_2_ESP_3_ac_ohl_transmission,coal,0.0
ESP_2_ESP_3_ac_ohl_transmission,electricity,1.1432914784067325e-05
ESP_2_ESP_3_ac_ohl_transmission,natural_gas,0.0
ESP_2_ESP_3_ac_ohl_transmission,oil,0.0
ESP_2_ESP_3_ac_ohl_transmission,uranium,0.0
ESP_2_ESP_4_ac_ohl_transmission,coal,0.0
ESP_2_ESP_4_ac_ohl_transmission,electricity,0.0
ESP_2_ESP_4_ac_ohl_transmission,natural_gas,0.0
ESP_2_ESP_4_ac_ohl_transmission,oil,0.0
ESP_2_ESP_4_ac_ohl_transmission,uranium,0.0
ESP_2_ESP_8_techs_ac_ohl_transmission,coal,0.0
ESP_2_ESP_8_techs_ac_ohl_transmission,electricity,0.0
ESP_2_ESP_8_techs_ac_ohl_transmission,natural_gas,0.0
ESP_2_ESP_8_techs_ac_ohl_transmission,oil,0.0
ESP_2_ESP_8_techs_ac_ohl_transmission,uranium,0.0
ESP_2_PRT_1_ac_ohl_transmission,coal,0.0
ESP_2_PRT_1_ac_ohl_transmission,electricity,1.3052059480294505e-06
ESP_2_PRT_1_ac_ohl_transmission,natural_gas,0.0
ESP_2_PRT_1_ac_ohl_transmission,oil,0.0
ESP_2_PRT_1_ac_ohl_transmission,uranium,0.0
ESP_3_ESP_11_ac_ohl_transmission,coal,0.0
ESP_3_ESP_11_ac_ohl_transmission,electricity,0.0
ESP_3_ESP_11_ac_ohl_transmission,natural_gas,0.0
ESP_3_ESP_11_ac_ohl_transmission,oil,0.0
ESP_3_ESP_11_ac_ohl_transmission,uranium,0.0
ESP_3_ESP_4_ac_ohl_transmission,coal,0.0
ESP_3_ESP_4_ac_ohl_transmission,electricity,1.1129958894740994e-05
ESP_3_ESP_4_ac_ohl_transmission,natural_gas,0.0
ESP_3_ESP_4_ac_ohl_transmission,oil,0.0
ESP_3_ESP_4_ac_ohl_transmission,uranium,0.0
ESP_3_ESP_5_ac_ohl_transmission,coal,0.0
ESP_3_ESP_5_ac_ohl_transmission,electricity,2.4183230751663556e-07
ESP_3_ESP_5_ac_ohl_transmission,natural_gas,0.0
ESP_3_ESP_5_ac_ohl_transmission,oil,0.0
ESP_3_ESP_5_ac_ohl_transmission,uranium,0.0
ESP_3_ESP_7_ac_ohl_transmission,coal,0.0
ESP_3_ESP_7_ac_ohl_transmission,electricity,0.0
