techs,costs,carriers,systemwide_levelised_cost
ESP_10_ESP_11_ac_ohl_transmission,monetary,electricity,731854.9379510183
ESP_1_ESP_2_ac_ohl_transmission,monetary,electricity,6627.838969931413
ESP_1_PRT_1_ac_ohl_transmission,monetary,electricity,20263.760448215777
ESP_2_ESP_3_ac_ohl_transmission,monetary,electricity,14561.151819898298
ESP_2_ESP_4_ac_ohl_transmission,monetary,electricity,8028537.588430905
ESP_2_ESP_8_techs_ac_ohl_transmission,monetary,electricity,22188241.954063255
ESP_2_PRT_1_ac_ohl_transmission,monetary,electricity,127547.99973605984
ESP_3_ESP_11_ac_ohl_transmission,monetary,electricity,53020134.56215845
ESP_3_ESP_4_ac_ohl_transmission,monetary,electricity,14957.504289923809
ESP_3_ESP_5_ac_ohl_transmission,monetary,electricity,688396.0609907848
ESP_3_ESP_7_ac_ohl_transmission,monetary,electricity,8028537.588430912
ESP_4_ESP_5_techs_ac_ohl_transmission,monetary,electricity,11950.850810451911
ESP_4_FRA_1_ac_ohl_mountain_transmission,monetary,electricity,703110.5602002017
ESP_4_FRA_1_dc_subsea_transmission,monetary,electricity,30.540307499251707
ESP_4_FRA_1_dc_underground_transmission,monetary,electricity,24.700625646868385
ESP_5_ESP_11_ac_ohl_transmission,monetary,electricity,1795335.2939764257
ESP_5_ESP_6_techs_ac_ohl_transmission,monetary,electricity,17368.579867876513
ESP_5_FRA_1_ac_ohl_transmission,monetary,electricity,4368187.606765323
ESP_6_ESP_11_ac_ohl_transmission,monetary,electricity,1169184285.1915367
ESP_6_FRA_2_ac_ohl_mountain_transmission,monetary,electricity,32.361491495770316
ESP_6_FRA_2_dc_underground_transmission,monetary,electricity,42.32333152079312
ESP_7_ESP_11_ac_ohl_transmission,monetary,electricity,558027.2919915535
ESP_7_ESP_8_ac_ohl_transmission,monetary,electricity,7547.488115813546
ESP_8_ESP_10_ac_ohl_transmission,monetary,electricity,47720.87768655996
ESP_8_ESP_9_ac_ohl_transmission,monetary,electricity,103109.69397641283
ESP_8_PRT_2_ac_ohl_transmission,monetary,electricity,1008894.4005360019
ESP_9_ESP_10_ac_ohl_transmission,monetary,electricity,45099.647889726904
ESP_9_PRT_2_ac_ohl_transmission,monetary,electricity,1323446.723049268
PRT_1_PRT_2_ac_ohl_transmission,monetary,electricity,201964199.41710374
Trade_Markets_ESP_10_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_11_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,monetary,oil,0.0
Trade_Markets_ESP_1_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_2_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,monetary,oil,0.0
Trade_Markets_ESP_3_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_4_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_5_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_6_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_6_oil_fuel_transmission,monetary,oil,0.0
Trade_Markets_ESP_7_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_9_natural_gas_transmission,monetary,natural_gas,0.0
battery_CN,co2,electricity,0.44686782929733604
battery_CN,monetary,electricity,2.9588561530954047
battery_CN,vul,electricity,5.745427104031167e-06
battery_CZ,co2,electricity,0.5026804296438546
battery_CZ,monetary,electricity,2.966531860196245
battery_CZ,vul,electricity,5.505568536360451e-06
battery_ESP,co2,electricity,0.06531389924995921
battery_ESP,monetary,electricity,3.3538675536982194
battery_ESP,vul,electricity,5.650968960889359e-06
battery_HU,co2,electricity,0.5472177413747866
battery_HU,monetary,electricity,3.001432514484681
battery_HU,vul,electricity,5.3889716908412765e-06
battery_PL,co2,electricity,0.5093582807544826
battery_PL,monetary,electricity,2.97065658410632
battery_PL,vul,electricity,5.485228093414631e-06
battery_US,co2,electricity,0.4659638732562983
battery_US,monetary,electricity,2.954489080591113
battery_US,vul,electricity,5.645036262554496e-06
biogas_to_electricity_supply_BEL,co2,electricity,1.5882732418213388
biogas_to_electricity_supply_BEL,monetary,electricity,2.1499393490002383
biogas_to_electricity_supply_BEL,vul,electricity,3.133207951260837e-06
biogas_to_electricity_supply_CAN,co2,electricity,55.467913716475394
biogas_to_electricity_supply_CAN,monetary,electricity,23.09925186966938
biogas_to_electricity_supply_CAN,vul,electricity,4.291227873967878e-06
biogas_to_electricity_supply_FR,co2,electricity,64.68856177903751
biogas_to_electricity_supply_FR,monetary,electricity,26.597133109075052
biogas_to_electricity_supply_FR,vul,electricity,4.312921569556824e-06
biogas_to_electricity_supply_FSM,co2,electricity,31.45018772069315
biogas_to_electricity_supply_FSM,monetary,electricity,13.966018413276688
biogas_to_electricity_supply_FSM,vul,electricity,4.19013363591289e-06
biogas_to_electricity_supply_UK,co2,electricity,44.49130546360497
biogas_to_electricity_supply_UK,monetary,electricity,18.930589334375924
biogas_to_electricity_supply_UK,vul,electricity,4.255981344981213e-06
biogas_to_electricity_supply_USA,co2,electricity,31.463981837035046
biogas_to_electricity_supply_USA,monetary,electricity,14.338564160689305
biogas_to_electricity_supply_USA,vul,electricity,4.191971437053382e-06
biomass_ESP,co2,electricity,0.0005940188612856036
biomass_ESP,monetary,electricity,25.726877449524785
biomass_ESP,vul,electricity,3.453598030730253e-06
biomass_FR,co2,electricity,0.0026799118287510392
biomass_FR,monetary,electricity,25.70747899713318
biomass_FR,vul,electricity,3.4534946246791735e-06
biomass_IT,co2,electricity,0.08109695902616791
biomass_IT,monetary,electricity,25.74214988823439
biomass_IT,vul,electricity,3.4541681159454768e-06
coal_COL,co2,coal,9.34
coal_COL,monetary,coal,3.53
coal_COL,vul,coal,0.5000000000000001
el_import_FR,co2,electricity,56.99999999999998
el_import_FR,monetary,electricity,22.299999999999994
el_import_FR,vul,electricity,0.0
el_import_PT,co2,electricity,389.00000000000006
el_import_PT,monetary,electricity,0.27999999999999997
el_import_PT,vul,electricity,0.0
existing_biogas_to_electricity_supply,monetary,electricity,1.306583417201631
existing_biomass,monetary,electricity,21.640813125759767
existing_ccgt,monetary,electricity,38.05339076295488
existing_chp,monetary,electricity,2422.7062003681926
existing_coal,monetary,electricity,41.272669787126
existing_hydro_reservoir,monetary,electricity,5.0
existing_hydro_run_of_river,monetary,electricity,3289.3519050673012
existing_nuclear,monetary,electricity,19.21465253006384
existing_oil_and_other,monetary,electricity,1212147.0600593754
existing_open_field_pv,monetary,electricity,1.581233914631728
existing_pumped_hydro,monetary,electricity,1.9112183879826574
existing_rooftop_pv,monetary,electricity,2.1361977704912047
existing_wind_onshore,monetary,electricity,3.9409270872482427
existing_wte,monetary,electricity,55.916263438868306
natural_gas_DZA,co2,natural_gas,9.61
natural_gas_DZA,monetary,natural_gas,3.635
natural_gas_DZA,vul,natural_gas,0.49999999999999994
oil_MEX,co2,oil,16.500000000000004
oil_MEX,monetary,oil,6.25
