costs,carriers,total_levelised_cost
co2,coal,1739639154.4598775
co2,electricity,0.23441357266567867
co2,natural_gas,271.79157341456187
co2,oil,4700370697.078726
co2,uranium,1.6343733814626435
monetary,coal,63015877984.35524
monetary,electricity,8.491288009416834
monetary,natural_gas,9845.251288785577
monetary,oil,170264037555.71667
monetary,uranium,59.2027796816891
vul,coal,535407066.1463787
vul,electricity,0.07214523936418829
vul,natural_gas,83.64903063496487
vul,oil,1446628559.877802
vul,uranium,0.5030095206314996
vulnerability,coal,6054.622966103074
vulnerability,electricity,8.158506877643538e-07
vulnerability,natural_gas,0.0009459407131475032
vulnerability,oil,16359.123844028849
vulnerability,uranium,5.688257007335305e-06
