nodes,techs,carriers,carrier_in
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,1.0
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,1.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,1.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,1.0
ESP_1,battery_CN,electricity,1.0
ESP_1,battery_CZ,electricity,1.0
ESP_1,battery_ESP,electricity,1.0
ESP_1,battery_HU,electricity,1.0
ESP_1,battery_PL,electricity,1.0
ESP_1,battery_US,electricity,1.0
ESP_1,demand_tech,electricity,1.0
ESP_1,existing_ccgt,natural_gas,1.0
ESP_1,existing_chp,natural_gas,1.0
ESP_1,existing_coal,coal,1.0
ESP_1,existing_nuclear,uranium,1.0
ESP_1,existing_oil_and_other,oil,1.0
ESP_1,existing_pumped_hydro,electricity,1.0
ESP_1,pumped_hydro_CN,electricity,1.0
ESP_10,ESP_10_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_10,ESP_8_ESP_10_ac_ohl_transmission,electricity,1.0
ESP_10,ESP_9_ESP_10_ac_ohl_transmission,electricity,1.0
ESP_10,Trade_Markets_ESP_10_natural_gas_transmission,natural_gas,1.0
ESP_10,battery_CN,electricity,1.0
ESP_10,battery_CZ,electricity,1.0
ESP_10,battery_ESP,electricity,1.0
ESP_10,battery_HU,electricity,1.0
ESP_10,battery_PL,electricity,1.0
ESP_10,battery_US,electricity,1.0
ESP_10,demand_tech,electricity,1.0
ESP_10,existing_ccgt,natural_gas,1.0
ESP_10,existing_chp,natural_gas,1.0
ESP_10,existing_coal,coal,1.0
ESP_10,existing_nuclear,uranium,1.0
ESP_10,existing_oil_and_other,oil,1.0
ESP_10,existing_pumped_hydro,electricity,1.0
ESP_10,pumped_hydro_CN,electricity,1.0
ESP_11,ESP_10_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_11,ESP_3_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_11,ESP_5_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_11,ESP_6_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_11,ESP_7_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_11,Trade_Markets_ESP_11_coal_transmission,coal,1.0
ESP_11,Trade_Markets_ESP_11_natural_gas_transmission,natural_gas,1.0
ESP_11,Trade_Markets_ESP_11_oil_fuel_transmission,oil,1.0
ESP_11,Trade_Markets_ESP_11_uranium_transmission,uranium,1.0
ESP_11,battery_CN,electricity,1.0
ESP_11,battery_CZ,electricity,1.0
ESP_11,battery_ESP,electricity,1.0
ESP_11,battery_HU,electricity,1.0
ESP_11,battery_PL,electricity,1.0
ESP_11,battery_US,electricity,1.0
ESP_11,demand_tech,electricity,1.0
ESP_11,existing_ccgt,natural_gas,1.0
ESP_11,existing_chp,natural_gas,1.0
ESP_11,existing_coal,coal,1.0
ESP_11,existing_nuclear,uranium,1.0
ESP_11,existing_oil_and_other,oil,1.0
ESP_11,existing_pumped_hydro,electricity,1.0
ESP_11,pumped_hydro_CN,electricity,1.0
ESP_2,ESP_1_ESP_2_ac_ohl_transmission,electricity,1.0
ESP_2,ESP_2_ESP_3_ac_ohl_transmission,electricity,1.0
ESP_2,ESP_2_ESP_4_ac_ohl_transmission,electricity,1.0
ESP_2,ESP_2_ESP_8_techs_ac_ohl_transmission,electricity,1.0
ESP_2,ESP_2_PRT_1_ac_ohl_transmission,electricity,1.0
ESP_2,ESP_3_ESP_7_ac_ohl_transmission,electricity,1.0
ESP_2,Trade_Markets_ESP_2_coal_transmission,coal,1.0
ESP_2,Trade_Markets_ESP_2_natural_gas_transmission,natural_gas,1.0
ESP_2,Trade_Markets_ESP_2_oil_fuel_transmission,oil,1.0
ESP_2,Trade_Markets_ESP_2_uranium_transmission,uranium,1.0
ESP_2,battery_CN,electricity,1.0
ESP_2,battery_CZ,electricity,1.0
ESP_2,battery_ESP,electricity,1.0
ESP_2,battery_HU,electricity,1.0
ESP_2,battery_PL,electricity,1.0
ESP_2,battery_US,electricity,1.0
ESP_2,demand_tech,electricity,1.0
ESP_2,existing_ccgt,natural_gas,1.0
ESP_2,existing_chp,natural_gas,1.0
ESP_2,existing_coal,coal,1.0
