nodes,techs,costs,cost_investment_annualised
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,monetary,287671.2328767123
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,monetary,47945.20547945205
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,monetary,0.0
ESP_1,battery_CN,co2,0.01049880757773367
ESP_1,battery_CN,monetary,0.01396643806322977
ESP_1,battery_CN,vul,1.4308334017842696e-07
ESP_1,battery_CZ,co2,0.011542895559748564
ESP_1,battery_CZ,monetary,0.013739563811207006
ESP_1,battery_CZ,vul,0.0
ESP_1,battery_ESP,co2,0.0006584147987107928
ESP_1,battery_ESP,monetary,0.010606615472949103
ESP_1,battery_ESP,vul,0.0
ESP_1,battery_HU,co2,0.01223443198855382
ESP_1,battery_HU,monetary,0.0135934500803097
ESP_1,battery_HU,vul,0.0
ESP_1,battery_PL,co2,0.011652538570478037
ESP_1,battery_PL,monetary,0.013716160137146091
ESP_1,battery_PL,vul,0.0
ESP_1,battery_US,co2,0.01088581783150155
ESP_1,battery_US,monetary,0.013883016740524806
ESP_1,battery_US,vul,0.0
ESP_1,biogas_to_electricity_supply_BEL,co2,0.006755889468525683
ESP_1,biogas_to_electricity_supply_BEL,monetary,0.0025550023475507944
ESP_1,biogas_to_electricity_supply_BEL,vul,0.0
ESP_1,biogas_to_electricity_supply_CAN,co2,0.007949245976465364
ESP_1,biogas_to_electricity_supply_CAN,monetary,0.0030063203729218473
ESP_1,biogas_to_electricity_supply_CAN,vul,0.0
ESP_1,biogas_to_electricity_supply_FR,co2,0.008013921073782508
ESP_1,biogas_to_electricity_supply_FR,monetary,0.0030307802114906955
ESP_1,biogas_to_electricity_supply_FR,vul,0.0
ESP_1,biogas_to_electricity_supply_FSM,co2,0.00798257341346629
ESP_1,biogas_to_electricity_supply_FSM,monetary,0.003018925278007255
ESP_1,biogas_to_electricity_supply_FSM,vul,0.0
ESP_1,biogas_to_electricity_supply_UK,co2,0.007830710296018364
ESP_1,biogas_to_electricity_supply_UK,monetary,0.002961491856591975
ESP_1,biogas_to_electricity_supply_UK,vul,0.0
ESP_1,biogas_to_electricity_supply_USA,co2,0.007748018766147681
ESP_1,biogas_to_electricity_supply_USA,monetary,0.003020450312374375
ESP_1,biogas_to_electricity_supply_USA,vul,0.0
ESP_1,biomass_ESP,co2,0.0
ESP_1,biomass_ESP,monetary,2.416377260665815e-06
ESP_1,biomass_ESP,vul,0.0
ESP_1,biomass_FR,co2,3.299763857024515e-07
ESP_1,biomass_FR,monetary,1.2501682654190817e-07
ESP_1,biomass_FR,vul,0.0
ESP_1,biomass_IT,co2,9.981376505691155e-06
ESP_1,biomass_IT,monetary,3.775220349711962e-06
ESP_1,biomass_IT,vul,0.0
ESP_1,existing_biogas_to_electricity_supply,monetary,0.0
ESP_1,existing_biomass,monetary,0.0
ESP_1,existing_ccgt,monetary,0.0
ESP_1,existing_chp,monetary,0.0
ESP_1,existing_coal,monetary,0.0
ESP_1,existing_hydro_run_of_river,monetary,0.0
ESP_1,existing_nuclear,monetary,0.0
ESP_1,existing_oil_and_other,monetary,0.0
ESP_1,existing_open_field_pv,monetary,0.0
ESP_1,existing_pumped_hydro,monetary,0.0
ESP_1,existing_rooftop_pv,monetary,0.0
ESP_1,existing_wind_onshore,monetary,0.0
ESP_1,existing_wte,monetary,0.0
ESP_1,open_field_pv_CN,co2,0.0007910519683574272
ESP_1,open_field_pv_CN,monetary,0.00029916611541850826
ESP_1,open_field_pv_CN,vul,0.0
ESP_1,open_field_pv_DE,co2,0.006180931259344621
ESP_1,open_field_pv_DE,monetary,0.0023373310023929693
ESP_1,open_field_pv_DE,vul,0.0
ESP_1,open_field_pv_ESP,co2,0.0010546161395309907
ESP_1,open_field_pv_ESP,monetary,0.0027492161578196853
ESP_1,open_field_pv_ESP,vul,0.0
ESP_1,open_field_pv_MY,co2,0.006191734431724393
ESP_1,open_field_pv_MY,monetary,0.0023413990127348037
ESP_1,open_field_pv_MY,vul,0.0
ESP_1,open_field_pv_NL,co2,0.006263069678723482
ESP_1,open_field_pv_NL,monetary,0.002368385405772833
ESP_1,open_field_pv_NL,vul,0.0
ESP_1,open_field_pv_PT,co2,0.006517480523861789
ESP_1,open_field_pv_PT,monetary,0.002464592771611107
ESP_1,open_field_pv_PT,vul,0.0
ESP_1,pumped_hydro_CN,co2,0.19688831533709356
ESP_1,pumped_hydro_CN,monetary,0.09566852010565273
ESP_1,pumped_hydro_CN,vulnerability,1.686636342341151e-05
ESP_1,pumped_hydro_ESP,co2,4.897451483178292e-06
ESP_1,pumped_hydro_ESP,monetary,0.0002146502159207204
ESP_1,pumped_hydro_ESP,vul,0.0
ESP_1,roof_mounted_pv_CN,co2,0.0009184667533998569
ESP_1,roof_mounted_pv_CN,monetary,0.0003473170772855103
ESP_1,roof_mounted_pv_CN,vul,0.0
ESP_1,roof_mounted_pv_DE,co2,0.0011602603094329647
ESP_1,roof_mounted_pv_DE,monetary,0.0004387546598231022
ESP_1,roof_mounted_pv_DE,vul,0.0
ESP_1,roof_mounted_pv_ESP,co2,0.000564366681672402
ESP_1,roof_mounted_pv_ESP,monetary,0.001471213972582346
ESP_1,roof_mounted_pv_ESP,vul,0.0
ESP_1,roof_mounted_pv_MY,co2,0.0012692792923910622
ESP_1,roof_mounted_pv_MY,monetary,0.0004799768651029651
ESP_1,roof_mounted_pv_MY,vul,0.0
ESP_1,roof_mounted_pv_NL,co2,0.001065115171240905
ESP_1,roof_mounted_pv_NL,monetary,0.00040277425550666075
ESP_1,roof_mounted_pv_NL,vul,0.0
ESP_1,roof_mounted_pv_PT,co2,0.0015982783754154989
