nodes,techs,costs,cost_investment_storage_cap
ESP_1,battery_CN,monetary,9.121113104958154
ESP_1,battery_CZ,monetary,8.553947443354595
ESP_1,battery_ESP,monetary,4.388263717946895
ESP_1,battery_HU,monetary,8.182042335628925
ESP_1,battery_PL,monetary,8.494806832821682
ESP_1,battery_US,monetary,8.9117330213774
ESP_10,battery_CN,monetary,3557109.9091291237
ESP_10,battery_CZ,monetary,149.5963586403285
ESP_10,battery_ESP,monetary,8.256495571375432
ESP_10,battery_HU,monetary,80.74666893634537
ESP_10,battery_PL,monetary,133.30768971148393
ESP_10,battery_US,monetary,493.4791071085051
ESP_11,battery_CN,monetary,2.8153005659172257
ESP_11,battery_CZ,monetary,2.8153526837889493
ESP_11,battery_ESP,monetary,2.8137585448351556
ESP_11,battery_HU,monetary,2.8153130555234465
ESP_11,battery_PL,monetary,2.815265126046319
ESP_11,battery_US,monetary,2.8153203584513222
ESP_2,battery_CN,monetary,3.7109426990631573
ESP_2,battery_CZ,monetary,3.597971682202043
ESP_2,battery_ESP,monetary,3.054957562569529
ESP_2,battery_HU,monetary,3.5308382912365093
ESP_2,battery_PL,monetary,3.5898791809238526
ESP_2,battery_US,monetary,3.6885112609707518
ESP_3,battery_CN,monetary,5.566092994386771
ESP_3,battery_CZ,monetary,5.1982690783631975
ESP_3,battery_ESP,monetary,3.3827221790552495
ESP_3,battery_HU,monetary,4.98754540843579
ESP_3,battery_PL,monetary,5.164457745384287
ESP_3,battery_US,monetary,5.404798615965212
ESP_4,battery_CN,monetary,4597077.3854361735
ESP_4,battery_CZ,monetary,157.59260758452737
ESP_4,battery_ESP,monetary,8.817101289013113
ESP_4,battery_HU,monetary,85.54646750501712
ESP_4,battery_PL,monetary,139.95712064364673
ESP_4,battery_US,monetary,510.52085115730523
ESP_5,battery_CN,monetary,40.085409155818105
ESP_5,battery_CZ,monetary,32.18264604701502
ESP_5,battery_ESP,monetary,7.131305493508104
ESP_5,battery_HU,monetary,27.76097395178568
ESP_5,battery_PL,monetary,31.44101453436815
ESP_5,battery_US,monetary,36.92552078624134
ESP_6,battery_CN,monetary,3.249500919528727
ESP_6,battery_CZ,monetary,3.224861988837021
ESP_6,battery_ESP,monetary,2.966277870864544
ESP_6,battery_HU,monetary,3.191531568691017
ESP_6,battery_PL,monetary,3.210952337254586
ESP_6,battery_US,monetary,3.2405897721771084
ESP_7,battery_CN,monetary,53241328.14672848
ESP_7,battery_CZ,monetary,171.593196025976
ESP_7,battery_ESP,monetary,9.861935308946983
ESP_7,battery_HU,monetary,92.46494520864502
ESP_7,battery_PL,monetary,152.10661080732274
ESP_7,battery_US,monetary,560.3348269512599
ESP_8,battery_CN,monetary,2.8198413184565787
ESP_8,battery_CZ,monetary,2.8196223102462894
ESP_8,battery_ESP,monetary,2.817383778903008
ESP_8,battery_HU,monetary,2.8194860265193173
ESP_8,battery_PL,monetary,2.8196110882556686
ESP_8,battery_US,monetary,2.8198201066540296
ESP_9,battery_CN,monetary,4.4968331147174565
ESP_9,battery_CZ,monetary,4.307370362551851
ESP_9,battery_ESP,monetary,3.219920059217368
ESP_9,battery_HU,monetary,4.191568391837401
ESP_9,battery_PL,monetary,4.290572942758704
ESP_9,battery_US,monetary,4.441209160451568
