nodes,techs,carriers,costs,cost_investment_flow_cap
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,monetary,630000000.0
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,monetary,105000000.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,monetary,0.0
ESP_1,battery_CN,electricity,co2,9.580161914681975
ESP_1,battery_CN,electricity,monetary,3.623261627739013
ESP_1,battery_CN,electricity,vul,0.00013056354791281458
ESP_1,battery_CZ,electricity,co2,10.532892198270567
ESP_1,battery_CZ,electricity,monetary,3.983404534371798
ESP_1,battery_CZ,electricity,vul,2.307213747102113e-05
ESP_1,battery_ESP,electricity,co2,0.6008035038235985
ESP_1,battery_ESP,electricity,monetary,5.290272901119161
ESP_1,battery_ESP,electricity,vul,3.118896887819338e-06
ESP_1,battery_HU,electricity,co2,11.163919189555362
ESP_1,battery_HU,electricity,monetary,4.221980862653677
ESP_1,battery_HU,electricity,vul,1.5391836903586138e-05
ESP_1,battery_PL,electricity,co2,10.63294144556121
ESP_1,battery_PL,electricity,monetary,4.021189292324128
ESP_1,battery_PL,electricity,vul,1.3740609233979595e-05
ESP_1,battery_US,electricity,co2,9.933308771245166
ESP_1,battery_US,electricity,monetary,3.7565197543514866
ESP_1,battery_US,electricity,vul,1.925432985315985e-05
ESP_1,biogas_to_electricity_supply_BEL,electricity,co2,6.164749140029685
ESP_1,biogas_to_electricity_supply_BEL,electricity,monetary,2.3314396421401002
ESP_1,biogas_to_electricity_supply_BEL,electricity,vul,1.2161283407960461e-05
ESP_1,biogas_to_electricity_supply_CAN,electricity,co2,7.253686953524646
ESP_1,biogas_to_electricity_supply_CAN,electricity,monetary,2.743267340291186
ESP_1,biogas_to_electricity_supply_CAN,electricity,vul,5.61175309443025e-07
ESP_1,biogas_to_electricity_supply_FR,electricity,co2,7.312702979826538
ESP_1,biogas_to_electricity_supply_FR,electricity,monetary,2.76558694298526
ESP_1,biogas_to_electricity_supply_FR,electricity,vul,4.875531863142561e-07
ESP_1,biogas_to_electricity_supply_FSM,electricity,co2,7.284098239787991
ESP_1,biogas_to_electricity_supply_FSM,electricity,monetary,2.75476931618162
ESP_1,biogas_to_electricity_supply_FSM,electricity,vul,9.704662278294613e-07
ESP_1,biogas_to_electricity_supply_UK,electricity,co2,7.145523145116757
ESP_1,biogas_to_electricity_supply_UK,electricity,monetary,2.702361319140177
ESP_1,biogas_to_electricity_supply_UK,electricity,vul,6.835315999128316e-07
ESP_1,biogas_to_electricity_supply_USA,electricity,co2,7.07006712410976
ESP_1,biogas_to_electricity_supply_USA,electricity,monetary,2.7561609100416176
ESP_1,biogas_to_electricity_supply_USA,electricity,vul,9.419506912959465e-07
ESP_1,biomass_ESP,electricity,co2,6.667552937086844e-05
ESP_1,biomass_ESP,electricity,monetary,0.002204944250357556
ESP_1,biomass_ESP,electricity,vul,3.876484265748165e-07
ESP_1,biomass_FR,electricity,co2,0.000301103451953487
ESP_1,biomass_FR,electricity,monetary,0.0001140778542194912
ESP_1,biomass_FR,electricity,vul,3.8801991231119456e-07
ESP_1,biomass_IT,electricity,co2,0.009108006061443179
ESP_1,biomass_IT,electricity,monetary,0.0034448885691121655
ESP_1,biomass_IT,electricity,vul,3.8793790192704567e-07
ESP_1,existing_biogas_to_electricity_supply,electricity,monetary,0.0
ESP_1,existing_biomass,electricity,monetary,0.0
ESP_1,existing_ccgt,electricity,monetary,0.0
