nodes,techs,costs,cost_operation_fixed
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,monetary,0.0
ESP_1,battery_CN,monetary,0.05466863469081406
ESP_1,battery_CZ,monetary,0.05120118178500579
ESP_1,battery_ESP,monetary,0.023071292046882772
ESP_1,battery_HU,monetary,0.04879603871586993
ESP_1,battery_PL,monetary,0.05082143141334918
ESP_1,battery_US,monetary,0.05341098349677903
ESP_1,biogas_to_electricity_supply_BEL,monetary,0.0065899937547719625
ESP_1,biogas_to_electricity_supply_CAN,monetary,0.00030409140717344447
ESP_1,biogas_to_electricity_supply_FR,monetary,0.0002641968240643903
ESP_1,biogas_to_electricity_supply_FSM,monetary,0.0005258792321562882
ESP_1,biogas_to_electricity_supply_UK,monetary,0.0003703942111624781
ESP_1,biogas_to_electricity_supply_USA,monetary,0.0005104271452863425
ESP_1,biomass_ESP,monetary,0.0031621954157678277
ESP_1,biomass_FR,monetary,0.003165225765982267
ESP_1,biomass_IT,monetary,0.003164556776137287
ESP_1,existing_biogas_to_electricity_supply,monetary,7325.6911879452055
ESP_1,existing_biomass,monetary,351297.5621917807
ESP_1,existing_ccgt,monetary,0.004396374458326151
ESP_1,existing_chp,monetary,1166038.381589041
ESP_1,existing_coal,monetary,0.0058482743389061615
ESP_1,existing_hydro_run_of_river,monetary,966817.8082191779
ESP_1,existing_nuclear,monetary,0.0
ESP_1,existing_oil_and_other,monetary,0.0
ESP_1,existing_open_field_pv,monetary,6215.013698630137
ESP_1,existing_pumped_hydro,monetary,119703.97808219178
ESP_1,existing_rooftop_pv,monetary,297.39726027397256
ESP_1,existing_wind_onshore,monetary,1719730.8369863012
ESP_1,existing_wte,monetary,0.0030602201917345534
ESP_1,open_field_pv_CN,monetary,0.0019333535800247126
ESP_1,open_field_pv_DE,monetary,0.011462088566239445
ESP_1,open_field_pv_ESP,monetary,0.0015196197975950875
ESP_1,open_field_pv_MY,monetary,0.01026597619466499
ESP_1,open_field_pv_NL,monetary,0.012932140505419748
