nodes,techs,carriers,flow_cap
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,7200.0
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,1200.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,1.7426533693184338e-06
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,1752.7874940228683
ESP_1,battery_CN,electricity,0.0002463463168166313
ESP_1,battery_CZ,electricity,0.0002307213747102113
ESP_1,battery_ESP,electricity,0.00010396322959397794
ESP_1,battery_HU,electricity,0.0002198833843369448
ESP_1,battery_PL,electricity,0.00022901015389965992
ESP_1,battery_US,electricity,0.00024067912316449812
ESP_1,biogas_to_electricity_supply_BEL,electricity,2.4322566815920922e-05
ESP_1,biogas_to_electricity_supply_CAN,electricity,1.12235061888605e-06
ESP_1,biogas_to_electricity_supply_FR,electricity,9.751063726285122e-07
ESP_1,biogas_to_electricity_supply_FSM,electricity,1.9409324556589226e-06
ESP_1,biogas_to_electricity_supply_UK,electricity,1.3670631998256632e-06
ESP_1,biogas_to_electricity_supply_USA,electricity,1.883901382591893e-06
ESP_1,biomass_ESP,electricity,7.75296853149633e-07
ESP_1,biomass_FR,electricity,7.760398246223891e-07
ESP_1,biomass_IT,electricity,7.758758038540913e-07
ESP_1,demand_tech,electricity,2592.485899354244
ESP_1,existing_biogas_to_electricity_supply,electricity,25.79
ESP_1,existing_biomass,electricity,78.3
ESP_1,existing_ccgt,electricity,2.5751611434141573e-06
ESP_1,existing_ccgt,natural_gas,2.57516114341416e-06
ESP_1,existing_chp,electricity,2001.2
ESP_1,existing_chp,natural_gas,2001.2
ESP_1,existing_coal,coal,3.1094791659879743e-06
ESP_1,existing_coal,electricity,3.109479165987964e-06
ESP_1,existing_hydro_reservoir,electricity,2824.48
ESP_1,existing_hydro_run_of_river,electricity,235.259
ESP_1,existing_nuclear,electricity,0.0
ESP_1,existing_nuclear,uranium,0.0
ESP_1,existing_oil_and_other,electricity,0.0
ESP_1,existing_oil_and_other,oil,0.0
ESP_1,existing_open_field_pv,electricity,16.68
ESP_1,existing_pumped_hydro,electricity,513.6
ESP_1,existing_rooftop_pv,electricity,0.65
ESP_1,existing_wind_onshore,electricity,3828.15
ESP_1,existing_wte,electricity,4.009208671611726e-07
ESP_1,open_field_pv_CN,electricity,7.428147965358106e-06
ESP_1,open_field_pv_DE,electricity,4.40385508071305e-05
ESP_1,open_field_pv_ESP,electricity,5.83853922233902e-06
ESP_1,open_field_pv_MY,electricity,3.9442961168976014e-05
ESP_1,open_field_pv_NL,electricity,4.968664509977061e-05
ESP_1,open_field_pv_PT,electricity,3.0569501453178736e-05
ESP_1,pumped_hydro_CN,electricity,0.012207561102434053
ESP_1,pumped_hydro_ESP,electricity,1.066757252710288e-06
ESP_1,roof_mounted_pv_CN,electricity,8.623712740205863e-06
ESP_1,roof_mounted_pv_DE,electricity,8.266745000473993e-06
ESP_1,roof_mounted_pv_ESP,electricity,3.1244325619661266e-06
ESP_1,roof_mounted_pv_MY,electricity,8.085639717661986e-06
ESP_1,roof_mounted_pv_NL,electricity,8.449850028590874e-06
ESP_1,roof_mounted_pv_PT,electricity,7.496543018574021e-06
ESP_1,wind_offshore_CN,electricity,5.328766188504415e-06
ESP_1,wind_offshore_DE,electricity,5.507882703030324e-06
ESP_1,wind_offshore_ESP,electricity,0.0
ESP_1,wind_offshore_FR,electricity,5.531090858769661e-06
ESP_1,wind_offshore_IND,electricity,5.325025271886896e-06
ESP_1,wind_offshore_NDL,electricity,5.566728491512134e-06
ESP_1,wind_offshore_PT,electricity,5.537826896739364e-06
ESP_1,wind_onshore_competing_CN,electricity,1.5122161572105567e-05
ESP_1,wind_onshore_competing_DE,electricity,1.5744679681036158e-05
ESP_1,wind_onshore_competing_ESP,electricity,0.0
ESP_1,wind_onshore_competing_FR,electricity,1.5857145093765067e-05
