nodes,techs,source_cap
ESP_1,biogas_to_electricity_supply_BEL,97.97689546623572
ESP_1,biogas_to_electricity_supply_CAN,98.22805581235797
ESP_1,biogas_to_electricity_supply_FR,98.21122805834175
ESP_1,biogas_to_electricity_supply_FSM,98.09152452788854
ESP_1,biogas_to_electricity_supply_UK,98.21962643172692
ESP_1,biogas_to_electricity_supply_USA,98.09167031185251
ESP_1,biomass_ESP,4.987289970687658e-07
ESP_1,biomass_FR,4.9920416423779e-07
ESP_1,biomass_IT,4.995448307318541e-07
ESP_1,existing_biogas_to_electricity_supply,117.29099939166741
ESP_1,existing_biomass,78.29999999999998
ESP_1,existing_hydro_reservoir,6.207516517639957e-06
ESP_1,existing_hydro_run_of_river,0.0
ESP_1,existing_open_field_pv,16.68
ESP_1,existing_rooftop_pv,0.65
ESP_1,existing_wind_onshore,3329.2601631580933
ESP_1,existing_wte,2.1428717695575047e-07
ESP_1,open_field_pv_CN,1.0376723112109015e-06
ESP_1,open_field_pv_DE,4.24964707522918e-05
ESP_1,open_field_pv_ESP,4.7294912435648455e-06
ESP_1,open_field_pv_MY,3.792377592149461e-05
ESP_1,open_field_pv_NL,4.811312154457244e-05
ESP_1,open_field_pv_PT,2.9097768472894656e-05
ESP_1,pumped_hydro_ESP,6.273709129105241e-07
ESP_1,roof_mounted_pv_CN,8.601775738170965e-07
ESP_1,roof_mounted_pv_DE,1.1732545175486145e-06
ESP_1,roof_mounted_pv_ESP,3.810531512709214e-07
ESP_1,roof_mounted_pv_MY,1.13745647343702e-06
ESP_1,roof_mounted_pv_NL,1.2045044853329773e-06
ESP_1,roof_mounted_pv_PT,1.039436383731151e-06
ESP_1,wind_offshore_CN,2.4439660205418773e-06
ESP_1,wind_offshore_DE,2.5578960007234275e-06
ESP_1,wind_offshore_ESP,0.0
ESP_1,wind_offshore_FR,2.572197887612867e-06
ESP_1,wind_offshore_IND,2.441672765733766e-06
ESP_1,wind_offshore_NDL,2.5939962095548805e-06
ESP_1,wind_offshore_PT,2.576340607278658e-06
ESP_1,wind_onshore_competing_CN,4.903907912981216e-06
ESP_1,wind_onshore_competing_DE,5.104711311249482e-06
ESP_1,wind_onshore_competing_ESP,0.0
ESP_1,wind_onshore_competing_FR,5.141075649888245e-06
ESP_1,wind_onshore_competing_IND,4.130178842669237e-06
ESP_1,wind_onshore_competing_NDL,5.224368719372729e-06
ESP_1,wind_onshore_competing_PT,5.155531630115707e-06
ESP_1,wind_onshore_monopoly_CN,3.3244043237577455e-06
ESP_1,wind_onshore_monopoly_DE,3.5328469210057553e-06
ESP_1,wind_onshore_monopoly_ESP,3.6378963115615936e-06
ESP_1,wind_onshore_monopoly_FR,3.5702182611010614e-06
ESP_1,wind_onshore_monopoly_IND,3.3196888250602945e-06
ESP_1,wind_onshore_monopoly_NDL,2.6083353546721988e-06
ESP_1,wind_onshore_monopoly_PT,3.5793167635933056e-06
ESP_10,biogas_to_electricity_supply_BEL,74.30257000307391
ESP_10,biogas_to_electricity_supply_CAN,74.50268041808609
ESP_10,biogas_to_electricity_supply_FR,74.48807331477508
ESP_10,biogas_to_electricity_supply_FSM,74.3832701584625
ESP_10,biogas_to_electricity_supply_UK,74.48291261395408
ESP_10,biogas_to_electricity_supply_USA,74.3833153500376
ESP_10,biomass_ESP,5.003092777861659e-07
ESP_10,biomass_FR,4.99849074490881e-07
ESP_10,biomass_IT,4.965514037958239e-07
ESP_10,existing_biogas_to_electricity_supply,75.93717814168147
ESP_10,existing_biomass,6.279999999999999
ESP_10,existing_hydro_reservoir,0.0
ESP_10,existing_hydro_run_of_river,0.0
ESP_10,existing_open_field_pv,420.68999999999994
ESP_10,existing_rooftop_pv,16.41
ESP_10,existing_wind_onshore,198.918234892
ESP_10,existing_wte,2.3116638882487636e-07
ESP_10,open_field_pv_CN,2.3678898649323566e-06
ESP_10,open_field_pv_DE,0.0005941816187656108
ESP_10,open_field_pv_ESP,5.142527906676229e-06
ESP_10,open_field_pv_MY,0.0002476784176248344
ESP_10,open_field_pv_NL,1193.5170442496142
ESP_10,open_field_pv_PT,8.10681950713649e-05
ESP_10,pumped_hydro_ESP,0.0
ESP_10,roof_mounted_pv_CN,1.6148344860614359e-06
ESP_10,roof_mounted_pv_DE,2.5589912344294548e-06
ESP_10,roof_mounted_pv_ESP,7.873306746906285e-07
ESP_10,roof_mounted_pv_MY,2.480608270197473e-06
ESP_10,roof_mounted_pv_NL,2.6318240557724674e-06
ESP_10,roof_mounted_pv_PT,2.239808532901972e-06
ESP_10,wind_offshore_CN,2.6186407228370565e-06
ESP_10,wind_offshore_DE,2.7617205391147486e-06
ESP_10,wind_offshore_ESP,0.0
ESP_10,wind_offshore_FR,2.7814965099349777e-06
ESP_10,wind_offshore_IND,2.616105016768413e-06
ESP_10,wind_offshore_NDL,2.8065500002381775e-06
ESP_10,wind_offshore_PT,2.7872596765558758e-06
ESP_10,wind_onshore_competing_CN,6.8694361528101435e-06
ESP_10,wind_onshore_competing_DE,7.5520446804501965e-06
ESP_10,wind_onshore_competing_ESP,0.0
ESP_10,wind_onshore_competing_FR,7.649393461919862e-06
ESP_10,wind_onshore_competing_IND,6.291478204023397e-06
ESP_10,wind_onshore_competing_NDL,7.791250516630959e-06
ESP_10,wind_onshore_competing_PT,7.677989830419351e-06
ESP_10,wind_onshore_monopoly_CN,5.7599740036913616e-06
ESP_10,wind_onshore_monopoly_DE,6.2490002349376574e-06
ESP_10,wind_onshore_monopoly_ESP,6.4518577263710514e-06
ESP_10,wind_onshore_monopoly_FR,6.312765079270247e-06
ESP_10,wind_onshore_monopoly_IND,5.751438023033534e-06
ESP_10,wind_onshore_monopoly_NDL,4.183227856357295e-06
ESP_10,wind_onshore_monopoly_PT,6.343959422723719e-06
ESP_11,biogas_to_electricity_supply_BEL,107.71174420943518
ESP_11,biogas_to_electricity_supply_CAN,107.7028798279913
ESP_11,biogas_to_electricity_supply_FR,107.65451035071568
ESP_11,biogas_to_electricity_supply_FSM,107.455335443154
ESP_11,biogas_to_electricity_supply_UK,107.69664636243971
ESP_11,biogas_to_electricity_supply_USA,107.45546458843035
ESP_11,biomass_ESP,4.967963649008621e-07
ESP_11,biomass_FR,4.983360017130517e-07
ESP_11,biomass_IT,4.973476041870087e-07
ESP_11,existing_biogas_to_electricity_supply,110.05341921790473
ESP_11,existing_biomass,10.44
ESP_11,existing_hydro_reservoir,7.693334136161472e-06
ESP_11,existing_hydro_run_of_river,0.0
ESP_11,existing_open_field_pv,334.52
ESP_11,existing_rooftop_pv,13.05
ESP_11,existing_wind_onshore,1054.3695753346665
ESP_11,existing_wte,2.1531897241947168e-07
ESP_11,open_field_pv_CN,2.2600361890430312e-06
ESP_11,open_field_pv_DE,0.0004383800349073235
ESP_11,open_field_pv_ESP,4.680523443128054e-06
ESP_11,open_field_pv_MY,0.00018093626289294564
ESP_11,open_field_pv_NL,1920.3505677715111
ESP_11,open_field_pv_PT,6.0206077455983975e-05
ESP_11,pumped_hydro_ESP,6.712016960191699e-07
ESP_11,roof_mounted_pv_CN,1.6347271829314827e-06
ESP_11,roof_mounted_pv_DE,2.588784676008059e-06
ESP_11,roof_mounted_pv_ESP,8.091427957484438e-07
ESP_11,roof_mounted_pv_MY,2.51231380834532e-06
ESP_11,roof_mounted_pv_NL,2.657014125413129e-06
ESP_11,roof_mounted_pv_PT,2.274842442599221e-06
ESP_11,wind_offshore_CN,2.1816818101510676e-06
ESP_11,wind_offshore_DE,2.2850946485905205e-06
ESP_11,wind_offshore_ESP,0.0
ESP_11,wind_offshore_FR,2.298489863487147e-06
ESP_11,wind_offshore_IND,2.179654286097629e-06
ESP_11,wind_offshore_NDL,2.3192185467419288e-06
ESP_11,wind_offshore_PT,2.302404884521461e-06
ESP_11,wind_onshore_competing_CN,6.6960224426628454e-06
ESP_11,wind_onshore_competing_DE,7.616678973202231e-06
ESP_11,wind_onshore_competing_ESP,0.0
ESP_11,wind_onshore_competing_FR,7.753302462686053e-06
ESP_11,wind_onshore_competing_IND,5.7764482202985345e-06
ESP_11,wind_onshore_competing_NDL,7.969077219706342e-06
ESP_11,wind_onshore_competing_PT,7.793678267014988e-06
ESP_11,wind_onshore_monopoly_CN,5.27986346183577e-06
ESP_11,wind_onshore_monopoly_DE,5.79144699233631e-06
ESP_11,wind_onshore_monopoly_ESP,6.048247956921558e-06
ESP_11,wind_onshore_monopoly_FR,5.8848754464420846e-06
ESP_11,wind_onshore_monopoly_IND,5.2704818033329745e-06
ESP_11,wind_onshore_monopoly_NDL,3.731327942545575e-06
ESP_11,wind_onshore_monopoly_PT,5.907479913306072e-06
ESP_2,biogas_to_electricity_supply_BEL,125.12765510514589
ESP_2,biogas_to_electricity_supply_CAN,125.15107040698109
ESP_2,biogas_to_electricity_supply_FR,125.09361876803293
ESP_2,biogas_to_electricity_supply_FSM,124.86756438041941
ESP_2,biogas_to_electricity_supply_UK,125.14461793806888
ESP_2,biogas_to_electricity_supply_USA,124.86800626982067
ESP_2,biomass_ESP,5.100010106802323e-07
ESP_2,biomass_FR,5.115662971489457e-07
ESP_2,biomass_IT,5.109124942796777e-07
ESP_2,existing_biogas_to_electricity_supply,138.71746713160127
ESP_2,existing_biomass,47.459999999999994
ESP_2,existing_hydro_reservoir,135.48579437377762
ESP_2,existing_hydro_run_of_river,0.0
ESP_2,existing_open_field_pv,476.98
ESP_2,existing_rooftop_pv,18.6
ESP_2,existing_wind_onshore,5241.732228737446
ESP_2,existing_wte,2.3925461362465443e-07
ESP_2,open_field_pv_CN,1.7591155452766869e-06
ESP_2,open_field_pv_DE,3.340799748702289e-05
ESP_2,open_field_pv_ESP,4.858768369381427e-06
ESP_2,open_field_pv_MY,3.0277700193867498e-05
ESP_2,open_field_pv_NL,3.759749023691111e-05
ESP_2,open_field_pv_PT,2.470353085307058e-05
ESP_2,pumped_hydro_ESP,6.655668244896846e-07
ESP_2,roof_mounted_pv_CN,1.2023314943096564e-06
ESP_2,roof_mounted_pv_DE,1.925033206969951e-06
ESP_2,roof_mounted_pv_ESP,5.840874887941738e-07
ESP_2,roof_mounted_pv_MY,1.8704047850252969e-06
ESP_2,roof_mounted_pv_NL,1.9768189886560466e-06
ESP_2,roof_mounted_pv_PT,1.6980898404630726e-06
ESP_2,wind_offshore_CN,2.6513606618583697e-06
ESP_2,wind_offshore_DE,2.767490397180363e-06
ESP_2,wind_offshore_ESP,0.0
ESP_2,wind_offshore_FR,2.782652814687688e-06
ESP_2,wind_offshore_IND,2.649073025960011e-06
ESP_2,wind_offshore_NDL,2.8072984620298142e-06
ESP_2,wind_offshore_PT,2.7870575622477414e-06
ESP_2,wind_onshore_competing_CN,3.834326225278208e-06
ESP_2,wind_onshore_competing_DE,4.117470698924304e-06
ESP_2,wind_onshore_competing_ESP,0.0
ESP_2,wind_onshore_competing_FR,4.157586520488306e-06
ESP_2,wind_onshore_competing_IND,3.533096503975454e-06
ESP_2,wind_onshore_competing_NDL,4.199323200476863e-06
ESP_2,wind_onshore_competing_PT,4.1694883033689854e-06
ESP_2,wind_onshore_monopoly_CN,3.1959317309045303e-06
ESP_2,wind_onshore_monopoly_DE,3.392269520173961e-06
ESP_2,wind_onshore_monopoly_ESP,3.494328055811165e-06
ESP_2,wind_onshore_monopoly_FR,3.426978053674519e-06
ESP_2,wind_onshore_monopoly_IND,3.192385954650463e-06
ESP_2,wind_onshore_monopoly_NDL,2.5322046188061336e-06
ESP_2,wind_onshore_monopoly_PT,3.436427131999122e-06
ESP_3,biogas_to_electricity_supply_BEL,119.27119291434971
ESP_3,biogas_to_electricity_supply_CAN,119.2728760003673
ESP_3,biogas_to_electricity_supply_FR,119.2187710845582
ESP_3,biogas_to_electricity_supply_FSM,119.00449676505048
ESP_3,biogas_to_electricity_supply_UK,119.26538216422614
ESP_3,biogas_to_electricity_supply_USA,119.00486901943229
ESP_3,biomass_ESP,4.97407253310105e-07
ESP_3,biomass_FR,4.987050115745387e-07
ESP_3,biomass_IT,4.976291129899226e-07
ESP_3,existing_biogas_to_electricity_supply,119.17241205208727
ESP_3,existing_biomass,3.49
ESP_3,existing_hydro_reservoir,0.0
ESP_3,existing_hydro_run_of_river,0.0
ESP_3,existing_open_field_pv,82.25
ESP_3,existing_rooftop_pv,3.2099999999999995
ESP_3,existing_wind_onshore,415.4541660324667
ESP_3,existing_wte,0.0
ESP_3,open_field_pv_CN,1.930075873586692e-06
ESP_3,open_field_pv_DE,0.0004974142434441015
ESP_3,open_field_pv_ESP,4.9450967894858644e-06
ESP_3,open_field_pv_MY,0.00021070377488373993
ESP_3,open_field_pv_NL,706.4265091992121
ESP_3,open_field_pv_PT,7.105326148977436e-05
