nodes,techs,timesteps,source_use
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 00:00:00,4.05158065398363e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 03:00:00,4.0501872233476225e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 06:00:00,4.0502249369872055e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 09:00:00,4.0512742779788734e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 12:00:00,4.049942223850411e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 15:00:00,4.051880389761348e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 18:00:00,4.0531303254742155e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 21:00:00,4.053821662408267e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 00:00:00,4.051700699404218e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 03:00:00,4.051091113256332e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 06:00:00,4.053394274905143e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 09:00:00,4.057895186707716e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 12:00:00,4.0557815429190355e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 15:00:00,4.058166994581071e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 18:00:00,4.054794662133411e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 21:00:00,4.0544237669919115e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 00:00:00,4.0531900196755024e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 03:00:00,4.053858302961108e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 06:00:00,4.05885075494427e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 09:00:00,4.060051857941483e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 12:00:00,4.0580018818004115e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 15:00:00,4.059401710416154e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 18:00:00,4.056774035359319e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 21:00:00,4.056846759856975e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 00:00:00,4.05578544119706e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 03:00:00,4.055036436992564e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 06:00:00,4.055882547311819e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 09:00:00,4.055625536965298e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 12:00:00,4.052508125787674e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 15:00:00,4.0552853055572565e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 18:00:00,4.053852395394658e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 21:00:00,4.054158801205177e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 00:00:00,4.0535335832962545e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 03:00:00,4.0546597969439875e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 06:00:00,4.063668882400185e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 09:00:00,6.797160668386743e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 12:00:00,4.0611882083351695e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 15:00:00,4.013548834574929e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 18:00:00,6.783603889736883e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-05 21:00:00,6.78811635208032e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 00:00:00,6.784126374650843e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 03:00:00,6.761042096486703e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 06:00:00,6.814211309862206e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 09:00:00,6.736584694425711e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 12:00:00,6.811332161966077e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 15:00:00,6.808687242837244e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 18:00:00,6.561797125058307e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-06 21:00:00,6.807576047425688e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 00:00:00,4.061453885506085e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 03:00:00,4.057211378402245e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 06:00:00,4.058656851007145e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 09:00:00,4.059590555555498e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 12:00:00,4.055138137497874e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 15:00:00,4.061263500914024e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 18:00:00,4.066850745589539e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-07 21:00:00,6.755344006369665e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 00:00:00,6.78497300042978e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 03:00:00,6.779381279075987e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 06:00:00,6.813866657823508e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 09:00:00,6.81445708388645e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 12:00:00,6.794890161641583e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 15:00:00,6.790717430511204e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 18:00:00,6.761397177935886e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-08 21:00:00,6.869407854617017e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 00:00:00,4.064362120867208e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 03:00:00,4.0595728493258014e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 06:00:00,4.061368031510224e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 09:00:00,4.0588409887033045e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 12:00:00,4.0598281581624384e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 15:00:00,4.0616043588989615e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 18:00:00,6.791707993129072e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 21:00:00,6.716344654341324e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 00:00:00,4.061918562610628e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 03:00:00,4.060676592743661e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 06:00:00,4.060632750207725e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 09:00:00,4.05695552034801e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 12:00:00,4.0534031740478425e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 15:00:00,4.056698254757103e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 18:00:00,4.059058962832994e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 21:00:00,4.058941117177232e-05
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 00:00:00,1.6828179660123662e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 03:00:00,1.6826709386188637e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 06:00:00,1.6826392494757782e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 09:00:00,1.682708615934661e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 12:00:00,1.6826672402363232e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 15:00:00,1.6828625765901916e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 18:00:00,1.6829670109820616e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 21:00:00,1.6829913996820403e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 00:00:00,1.682860254727514e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 03:00:00,1.682804879191987e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 06:00:00,1.6829033147096315e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 09:00:00,1.68315182313404e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 12:00:00,1.6830972540358858e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 15:00:00,1.6831785316088007e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 18:00:00,1.68302078438619e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-02 21:00:00,1.68299244378026e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 00:00:00,1.6829361587996632e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 03:00:00,1.6829936818343974e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 06:00:00,1.6832709820199565e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 09:00:00,1.6833820629393364e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 12:00:00,1.6832511934235338e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 15:00:00,1.6833117821966838e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 18:00:00,1.6831276285596904e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-03 21:00:00,1.683118037688875e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 00:00:00,1.6830796263447297e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 03:00:00,1.6830455125752041e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 06:00:00,1.6830251117833254e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 09:00:00,1.682994136424317e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 12:00:00,1.6828452541460347e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 15:00:00,1.682940792006148e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 18:00:00,1.6828304658694684e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-04 21:00:00,1.6828215565223106e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 00:00:00,1.6828085615134272e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 03:00:00,1.6830030089718663e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 06:00:00,1.6835462105113171e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 09:00:00,1.957106928015296e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 12:00:00,1.683447195403097e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 15:00:00,1.6815634351971678e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 18:00:00,1.962457010631677e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 21:00:00,1.9514472061521957e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 00:00:00,1.945011765030042e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 03:00:00,1.9295992975994495e-06
