costs,carriers,total_levelised_cost
co2,coal,2231836842.363912
co2,electricity,0.4323535744945884
co2,natural_gas,20.762657990727032
co2,oil,781944693.0283408
co2,uranium,3.0723325819556884
monetary,coal,51419166828.36749
monetary,electricity,9.960970333400983
monetary,natural_gas,478.3497407878409
monetary,oil,18015180974.786026
monetary,uranium,70.78330215952664
vul,coal,416962934.6971497
vul,electricity,0.08077445977508042
vul,natural_gas,3.8789837337559105
vul,oil,146086823.09887064
vul,uranium,0.5739885575063169
vulnerability,coal,108.01389310278026
vulnerability,electricity,0.0
vulnerability,natural_gas,1.0048474324693937e-06
vulnerability,oil,37.843667100499346
vulnerability,uranium,1.4869124695157268e-07
