techs,name
ESP_10_ESP_11_ac_ohl_transmission,High voltage AC transmission line
ESP_1_ESP_2_ac_ohl_transmission,High voltage AC transmission line
ESP_1_PRT_1_ac_ohl_transmission,High voltage AC transmission line
ESP_2_ESP_3_ac_ohl_transmission,High voltage AC transmission line
ESP_2_ESP_4_ac_ohl_transmission,High voltage AC transmission line
ESP_2_ESP_8_techs_ac_ohl_transmission,High voltage AC transmission line
ESP_2_PRT_1_ac_ohl_transmission,High voltage AC transmission line
ESP_3_ESP_11_ac_ohl_transmission,High voltage AC transmission line
ESP_3_ESP_4_ac_ohl_transmission,High voltage AC transmission line
ESP_3_ESP_5_ac_ohl_transmission,High voltage AC transmission line
ESP_3_ESP_7_ac_ohl_transmission,High voltage AC transmission line
ESP_4_ESP_5_techs_ac_ohl_transmission,High voltage AC transmission line
ESP_4_FRA_1_ac_ohl_mountain_transmission,High voltage AC transmission line
ESP_4_FRA_1_dc_subsea_transmission,DC power transmission
ESP_4_FRA_1_dc_underground_transmission,DC power transmission
ESP_5_ESP_11_ac_ohl_transmission,High voltage AC transmission line
ESP_5_ESP_6_techs_ac_ohl_transmission,High voltage AC transmission line
ESP_5_FRA_1_ac_ohl_transmission,High voltage AC transmission line
ESP_6_ESP_11_ac_ohl_transmission,High voltage AC transmission line
ESP_6_FRA_2_ac_ohl_mountain_transmission,DC power transmission
ESP_6_FRA_2_dc_underground_transmission,DC power transmission
ESP_6_FRA_3_dc_subsea_transmission,DC power transmission
ESP_7_ESP_11_ac_ohl_transmission,High voltage AC transmission line
ESP_7_ESP_8_ac_ohl_transmission,High voltage AC transmission line
ESP_8_ESP_10_ac_ohl_transmission,High voltage AC transmission line
ESP_8_ESP_9_ac_ohl_transmission,High voltage AC transmission line
ESP_8_PRT_2_ac_ohl_transmission,High voltage AC transmission line
ESP_9_ESP_10_ac_ohl_transmission,High voltage AC transmission line
ESP_9_MA_dc_subsea_transmission,DC power transmission
ESP_9_PRT_2_ac_ohl_transmission,High voltage AC transmission line
PRT_1_PRT_2_ac_ohl_transmission,High voltage AC transmission line
Trade_Markets_ESP_10_natural_gas_transmission,Natural gas transmission link_from international trade
Trade_Markets_ESP_11_coal_transmission,Coal transmission link_from international trade
Trade_Markets_ESP_11_natural_gas_transmission,Natural gas transmission link_from international trade
Trade_Markets_ESP_11_oil_fuel_transmission,Oil transmission link_from international trade
Trade_Markets_ESP_11_uranium_transmission,Uranium transmission link_from international trade
Trade_Markets_ESP_1_coal_transmission,Coal transmission link_from international trade
Trade_Markets_ESP_1_natural_gas_transmission,Natural gas transmission link_from international trade
Trade_Markets_ESP_2_coal_transmission,Coal transmission link_from international trade
Trade_Markets_ESP_2_natural_gas_transmission,Natural gas transmission link_from international trade
Trade_Markets_ESP_2_oil_fuel_transmission,Oil transmission link_from international trade
Trade_Markets_ESP_2_uranium_transmission,Uranium transmission link_from international trade
Trade_Markets_ESP_3_natural_gas_transmission,Natural gas transmission link_from international trade
Trade_Markets_ESP_4_natural_gas_transmission,Natural gas transmission link_from international trade
Trade_Markets_ESP_5_coal_transmission,Coal transmission link_from international trade
Trade_Markets_ESP_5_natural_gas_transmission,Natural gas transmission link_from international trade
Trade_Markets_ESP_6_natural_gas_transmission,Natural gas transmission link_from international trade
