nodes,techs,costs,cost
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,monetary,287671.2328767123
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,monetary,47945.20547945205
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,monetary,0.0
ESP_1,battery_CN,co2,0.008258826452303879
ESP_1,battery_CN,monetary,0.05428968271386936
ESP_1,battery_CN,vul,1.061846081450266e-07
ESP_1,battery_CZ,co2,0.008985664674525136
ESP_1,battery_CZ,monetary,0.05085363639888107
ESP_1,battery_CZ,vul,0.0
ESP_1,battery_ESP,co2,0.0005494481862585386
ESP_1,battery_ESP,monetary,0.02826200956956631
ESP_1,battery_ESP,vul,0.0
ESP_1,battery_HU,co2,0.009463636341798266
ESP_1,battery_HU,monetary,0.04854610264604894
ESP_1,battery_HU,vul,0.0
ESP_1,battery_PL,co2,0.009062005822545708
ESP_1,battery_PL,monetary,0.0504879526658018
ESP_1,battery_PL,vul,0.0
ESP_1,battery_US,co2,0.00852896808315328
ESP_1,battery_US,monetary,0.05302543225596808
ESP_1,battery_US,vul,1.0332632393818183e-07
ESP_1,biogas_to_electricity_supply_BEL,co2,0.005209183903023118
ESP_1,biogas_to_electricity_supply_BEL,monetary,0.007051324138940472
ESP_1,biogas_to_electricity_supply_BEL,vul,0.0
ESP_1,biogas_to_electricity_supply_CAN,co2,0.006220827829258573
ESP_1,biogas_to_electricity_supply_CAN,monetary,0.002590623285389781
ESP_1,biogas_to_electricity_supply_CAN,vul,0.0
ESP_1,biogas_to_electricity_supply_FR,co2,0.006226997711810572
ESP_1,biogas_to_electricity_supply_FR,monetary,0.0025602715913928577
ESP_1,biogas_to_electricity_supply_FR,vul,0.0
ESP_1,biogas_to_electricity_supply_FSM,co2,0.006189761400007003
ESP_1,biogas_to_electricity_supply_FSM,monetary,0.002748674267193908
ESP_1,biogas_to_electricity_supply_FSM,vul,0.0
ESP_1,biogas_to_electricity_supply_UK,co2,0.0062103157852842735
ESP_1,biogas_to_electricity_supply_UK,monetary,0.002642424998389406
ESP_1,biogas_to_electricity_supply_UK,vul,0.0
ESP_1,biogas_to_electricity_supply_USA,co2,0.006006957572527782
ESP_1,biogas_to_electricity_supply_USA,monetary,0.002737452208380264
ESP_1,biogas_to_electricity_supply_USA,vul,0.0
ESP_1,biomass_ESP,co2,0.0
ESP_1,biomass_ESP,monetary,0.002632442621696189
ESP_1,biomass_ESP,vul,0.0
ESP_1,biomass_FR,co2,2.7444135897896147e-07
ESP_1,biomass_FR,monetary,0.002632622236375732
ESP_1,biomass_FR,vul,0.0
ESP_1,biomass_IT,co2,8.292799272284806e-06
ESP_1,biomass_IT,monetary,0.0026323364577864605
ESP_1,biomass_IT,vul,0.0
ESP_1,existing_biogas_to_electricity_supply,monetary,7325.6911879452055
ESP_1,existing_biomass,monetary,351297.5621917807
ESP_1,existing_ccgt,monetary,0.004007531145670675
ESP_1,existing_chp,monetary,1166038.381589041
ESP_1,existing_coal,monetary,0.0036189381823554076
ESP_1,existing_hydro_reservoir,monetary,0.014092839584128197
ESP_1,existing_hydro_run_of_river,monetary,966817.8082191779
ESP_1,existing_nuclear,monetary,0.0
ESP_1,existing_oil_and_other,monetary,0.0
ESP_1,existing_open_field_pv,monetary,6215.013698630137
ESP_1,existing_pumped_hydro,monetary,119703.97808219178
ESP_1,existing_rooftop_pv,monetary,297.39726027397256
ESP_1,existing_wind_onshore,monetary,1719730.8369863012
ESP_1,existing_wte,monetary,0.003019366605319312
ESP_1,open_field_pv_CN,co2,0.0006302606906569031
ESP_1,open_field_pv_CN,monetary,0.0017787319435875748
ESP_1,open_field_pv_CN,vul,0.0
ESP_1,open_field_pv_DE,co2,0.005698712096504845
ESP_1,open_field_pv_DE,monetary,0.012722827017631234
ESP_1,open_field_pv_DE,vul,0.0
ESP_1,open_field_pv_ESP,co2,0.0009498315853279317
ESP_1,open_field_pv_ESP,monetary,0.0038446929371284662
ESP_1,open_field_pv_ESP,vul,0.0
ESP_1,open_field_pv_MY,co2,0.005820416824887623
ESP_1,open_field_pv_MY,monetary,0.011851312355847361
ESP_1,open_field_pv_MY,vul,0.0
ESP_1,open_field_pv_NL,co2,0.005570211120238187
ESP_1,open_field_pv_NL,monetary,0.013607889413324895
ESP_1,open_field_pv_NL,vul,0.0
ESP_1,open_field_pv_PT,co2,0.0060901665225229235
ESP_1,open_field_pv_PT,monetary,0.009737790345380649
ESP_1,open_field_pv_PT,vul,0.0
ESP_1,pumped_hydro_CN,co2,0.1519776001638352
ESP_1,pumped_hydro_CN,monetary,2.2700474418009753
ESP_1,pumped_hydro_CN,vulnerability,1.3019103912756394e-05
ESP_1,pumped_hydro_ESP,co2,4.727829658589181e-06
ESP_1,pumped_hydro_ESP,monetary,0.0030596496659849597
ESP_1,pumped_hydro_ESP,vul,0.0
ESP_1,roof_mounted_pv_CN,co2,0.0007625025832300911
ESP_1,roof_mounted_pv_CN,monetary,0.001837892246777889
ESP_1,roof_mounted_pv_CN,vul,0.0
ESP_1,roof_mounted_pv_DE,co2,0.0009569490591947215
ESP_1,roof_mounted_pv_DE,monetary,0.0018375859666372482
ESP_1,roof_mounted_pv_DE,vul,0.0
ESP_1,roof_mounted_pv_ESP,co2,0.00045575138177291174
ESP_1,roof_mounted_pv_ESP,monetary,0.0017341709903532319
ESP_1,roof_mounted_pv_ESP,vul,0.0
ESP_1,roof_mounted_pv_MY,co2,0.0010438649343672449
ESP_1,roof_mounted_pv_MY,monetary,0.0018339849268807092
ESP_1,roof_mounted_pv_MY,vul,0.0
ESP_1,roof_mounted_pv_NL,co2,0.000878572465869744
