nodes,techs,costs,cost_investment_annualised
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,monetary,287671.2328767123
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,monetary,47945.20547945205
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,monetary,0.0
ESP_1,battery_CN,co2,0.008258826452303879
ESP_1,battery_CN,monetary,0.011284916415133588
ESP_1,battery_CN,vul,1.061846081450266e-07
ESP_1,battery_CZ,co2,0.008985664674525136
ESP_1,battery_CZ,monetary,0.010995643395478372
ESP_1,battery_CZ,vul,0.0
ESP_1,battery_ESP,co2,0.0005494481862585386
ESP_1,battery_ESP,monetary,0.009008980028581007
ESP_1,battery_ESP,vul,0.0
ESP_1,battery_HU,co2,0.009463636341798266
ESP_1,battery_HU,monetary,0.010801157416116126
ESP_1,battery_HU,vul,0.0
ESP_1,battery_PL,co2,0.009062005822545708
ESP_1,battery_PL,monetary,0.010964881826570565
ESP_1,battery_PL,vul,0.0
ESP_1,battery_US,co2,0.00852896808315328
ESP_1,battery_US,monetary,0.011178271061004438
ESP_1,battery_US,vul,1.0332632393818183e-07
ESP_1,biogas_to_electricity_supply_BEL,co2,0.005209183903023118
ESP_1,biogas_to_electricity_supply_BEL,monetary,0.001970055484633671
ESP_1,biogas_to_electricity_supply_BEL,vul,0.0
ESP_1,biogas_to_electricity_supply_CAN,co2,0.006220827829258573
ESP_1,biogas_to_electricity_supply_CAN,monetary,0.0023526509929253695
ESP_1,biogas_to_electricity_supply_CAN,vul,0.0
ESP_1,biogas_to_electricity_supply_FR,co2,0.006226997711810572
ESP_1,biogas_to_electricity_supply_FR,monetary,0.0023549846907895207
ESP_1,biogas_to_electricity_supply_FR,vul,0.0
ESP_1,biogas_to_electricity_supply_FSM,co2,0.006189761400007003
ESP_1,biogas_to_electricity_supply_FSM,monetary,0.002340902637211133
ESP_1,biogas_to_electricity_supply_FSM,vul,0.0
ESP_1,biogas_to_electricity_supply_UK,co2,0.0062103157852842735
ESP_1,biogas_to_electricity_supply_UK,monetary,0.002348675781599984
ESP_1,biogas_to_electricity_supply_UK,vul,0.0
ESP_1,biogas_to_electricity_supply_USA,co2,0.006006957572527782
ESP_1,biogas_to_electricity_supply_USA,monetary,0.0023417234036182165
ESP_1,biogas_to_electricity_supply_USA,vul,0.0
ESP_1,biomass_ESP,co2,0.0
ESP_1,biomass_ESP,monetary,2.0100331121457397e-06
ESP_1,biomass_ESP,vul,0.0
ESP_1,biomass_FR,co2,2.7444135897896147e-07
ESP_1,biomass_FR,monetary,1.039764942523385e-07
ESP_1,biomass_FR,vul,0.0
ESP_1,biomass_IT,co2,8.292799272284806e-06
ESP_1,biomass_IT,monetary,3.1365558198266064e-06
ESP_1,biomass_IT,vul,0.0
ESP_1,existing_biogas_to_electricity_supply,monetary,0.0
ESP_1,existing_biomass,monetary,0.0
ESP_1,existing_ccgt,monetary,0.0
ESP_1,existing_chp,monetary,0.0
ESP_1,existing_coal,monetary,0.0
ESP_1,existing_hydro_run_of_river,monetary,0.0
ESP_1,existing_nuclear,monetary,0.0
ESP_1,existing_oil_and_other,monetary,0.0
ESP_1,existing_open_field_pv,monetary,0.0
ESP_1,existing_pumped_hydro,monetary,0.0
ESP_1,existing_rooftop_pv,monetary,0.0
ESP_1,existing_wind_onshore,monetary,0.0
ESP_1,existing_wte,monetary,0.0
ESP_1,open_field_pv_CN,co2,0.0006302606906569031
ESP_1,open_field_pv_CN,monetary,0.000238356833769506
ESP_1,open_field_pv_CN,vul,0.0
ESP_1,open_field_pv_DE,co2,0.005698712096504845
ESP_1,open_field_pv_DE,monetary,0.0021549789017205373
ESP_1,open_field_pv_DE,vul,0.0
ESP_1,open_field_pv_ESP,co2,0.0009498315853279317
ESP_1,open_field_pv_ESP,monetary,0.0024760595288749626
ESP_1,open_field_pv_ESP,vul,0.0
ESP_1,open_field_pv_MY,co2,0.005820416824887623
ESP_1,open_field_pv_MY,monetary,0.0022009855813052946
ESP_1,open_field_pv_MY,vul,0.0
ESP_1,open_field_pv_NL,co2,0.005570211120238187
ESP_1,open_field_pv_NL,monetary,0.002106380321627604
ESP_1,open_field_pv_NL,vul,0.0
ESP_1,open_field_pv_PT,co2,0.0060901665225229235
ESP_1,open_field_pv_PT,monetary,0.0023030034895177923
ESP_1,open_field_pv_PT,vul,0.0
ESP_1,pumped_hydro_CN,co2,0.1519776001638352
ESP_1,pumped_hydro_CN,monetary,0.07384629236117751
ESP_1,pumped_hydro_CN,vulnerability,1.3019103912756394e-05
ESP_1,pumped_hydro_ESP,co2,4.727829658589181e-06
ESP_1,pumped_hydro_ESP,monetary,0.00020721586738291914
ESP_1,pumped_hydro_ESP,vul,0.0
ESP_1,roof_mounted_pv_CN,co2,0.0007625025832300911
ESP_1,roof_mounted_pv_CN,monetary,0.0002883394174582956
ESP_1,roof_mounted_pv_CN,vul,0.0
ESP_1,roof_mounted_pv_DE,co2,0.0009569490591947215
ESP_1,roof_mounted_pv_DE,monetary,0.00036187212086933495
ESP_1,roof_mounted_pv_DE,vul,0.0
ESP_1,roof_mounted_pv_ESP,co2,0.00045575138177291174
ESP_1,roof_mounted_pv_ESP,monetary,0.0011880712002719333
ESP_1,roof_mounted_pv_ESP,vul,0.0
ESP_1,roof_mounted_pv_MY,co2,0.0010438649343672449
ESP_1,roof_mounted_pv_MY,monetary,0.00039473662084619913
ESP_1,roof_mounted_pv_MY,vul,0.0
ESP_1,roof_mounted_pv_NL,co2,0.000878572465869744
ESP_1,roof_mounted_pv_NL,monetary,0.00033223296447563284
ESP_1,roof_mounted_pv_NL,vul,0.0
