nodes,techs,carriers,costs,cost_investment_flow_cap
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,monetary,630000000.0
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,monetary,105000000.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,monetary,0.0
ESP_1,battery_CN,electricity,co2,7.53617913772729
ESP_1,battery_CN,electricity,monetary,2.850217870289619
ESP_1,battery_CN,electricity,vul,9.689345493233678e-05
ESP_1,battery_CZ,electricity,co2,8.199419015504187
ESP_1,battery_CZ,electricity,monetary,3.100914950115653
ESP_1,battery_CZ,electricity,vul,8.980350275458016e-05
ESP_1,battery_ESP,electricity,co2,0.5013714699609165
ESP_1,battery_ESP,electricity,monetary,4.414741066002976
ESP_1,battery_ESP,electricity,vul,4.337873939789899e-05
ESP_1,battery_HU,electricity,co2,8.635568161890918
ESP_1,battery_HU,electricity,monetary,3.2658068281034334
ESP_1,battery_HU,electricity,vul,8.504262351188567e-05
ESP_1,battery_PL,electricity,co2,8.26908031307296
ESP_1,battery_PL,electricity,monetary,3.127219065631017
ESP_1,battery_PL,electricity,vul,8.904889417481112e-05
ESP_1,battery_US,electricity,co2,7.78268337587737
ESP_1,battery_US,electricity,monetary,2.9432090068495347
ESP_1,battery_US,electricity,vul,9.428527059359093e-05
ESP_1,biogas_to_electricity_supply_BEL,electricity,co2,4.753380311508595
ESP_1,biogas_to_electricity_supply_BEL,electricity,monetary,1.7976756297282248
ESP_1,biogas_to_electricity_supply_BEL,electricity,vul,9.377057168265739e-06
ESP_1,biogas_to_electricity_supply_CAN,electricity,co2,5.676505394198449
ESP_1,biogas_to_electricity_supply_CAN,electricity,monetary,2.1467940310444
ESP_1,biogas_to_electricity_supply_CAN,electricity,vul,4.391580022069244e-07
ESP_1,biogas_to_electricity_supply_FR,electricity,co2,5.682135412027147
ESP_1,biogas_to_electricity_supply_FR,electricity,monetary,2.148923530345438
ESP_1,biogas_to_electricity_supply_FR,electricity,vul,3.7883983977544487e-07
ESP_1,biogas_to_electricity_supply_FSM,electricity,co2,5.648157277506391
ESP_1,biogas_to_electricity_supply_FSM,electricity,monetary,2.136073656455159
ESP_1,biogas_to_electricity_supply_FSM,electricity,vul,7.525085064542849e-07
ESP_1,biogas_to_electricity_supply_UK,electricity,co2,5.666913154071899
ESP_1,biogas_to_electricity_supply_UK,electricity,monetary,2.1431666507099854
ESP_1,biogas_to_electricity_supply_UK,electricity,vul,5.420896603514596e-07
ESP_1,biogas_to_electricity_supply_USA,electricity,co2,5.481348784931603
ESP_1,biogas_to_electricity_supply_USA,electricity,monetary,2.1368226058016226
ESP_1,biogas_to_electricity_supply_USA,electricity,vul,7.30284477723491e-07
ESP_1,biomass_ESP,electricity,co2,5.546320269888781e-05
ESP_1,biomass_ESP,electricity,monetary,0.0018341552148329876
ESP_1,biomass_ESP,electricity,vul,3.224604808074873e-07
ESP_1,biomass_FR,electricity,co2,0.0002504277400683024
ESP_1,biomass_FR,electricity,monetary,9.487855100525888e-05
ESP_1,biomass_FR,electricity,vul,3.2271615988183294e-07
ESP_1,biomass_IT,electricity,co2,0.007567179335959885
ESP_1,biomass_IT,electricity,monetary,0.0028621071855917785
ESP_1,biomass_IT,electricity,vul,3.223093677468219e-07
ESP_1,existing_biogas_to_electricity_supply,electricity,monetary,0.0
ESP_1,existing_biomass,electricity,monetary,0.0
ESP_1,existing_ccgt,electricity,monetary,0.0
