nodes,techs,carriers,timesteps,flow_in_inc_eff
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 00:00:00,3011.2858092147326
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 03:00:00,4432.929839824219
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 06:00:00,1968.716061765938
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 09:00:00,1645.0244738935248
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 12:00:00,1778.8726180452013
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 15:00:00,816.7314072516384
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 18:00:00,1555.4464745019056
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 21:00:00,1505.6995059431918
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 00:00:00,2492.945520429706
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 03:00:00,2966.032167731328
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 06:00:00,2295.0707599577922
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 09:00:00,805.8903218205385
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 12:00:00,960.7787460531009
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 15:00:00,764.4529249506154
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 18:00:00,1442.0584467341384
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 21:00:00,1654.358502229029
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 00:00:00,2063.803711825091
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 03:00:00,1648.3550781393515
