techs,link_flow_cap
ESP_10_ESP_11_ac_ohl_transmission,3200.0
ESP_1_ESP_2_ac_ohl_transmission,7200.0
ESP_1_PRT_1_ac_ohl_transmission,1200.0
ESP_2_ESP_3_ac_ohl_transmission,19100.0
ESP_2_ESP_4_ac_ohl_transmission,2400.0
ESP_2_ESP_8_techs_ac_ohl_transmission,2400.0
ESP_2_PRT_1_ac_ohl_transmission,950.0
ESP_3_ESP_11_ac_ohl_transmission,2700.0
ESP_3_ESP_4_ac_ohl_transmission,7100.0
ESP_3_ESP_5_ac_ohl_transmission,3900.0
ESP_3_ESP_7_ac_ohl_transmission,10200.0
ESP_4_ESP_5_techs_ac_ohl_transmission,900.0
ESP_4_FRA_1_ac_ohl_mountain_transmission,1000.0
ESP_4_FRA_1_dc_subsea_transmission,2000.0
ESP_4_FRA_1_dc_underground_transmission,3500.0
ESP_5_ESP_11_ac_ohl_transmission,5700.0
ESP_5_ESP_6_techs_ac_ohl_transmission,7000.0
ESP_5_FRA_1_ac_ohl_transmission,100.0
ESP_6_ESP_11_ac_ohl_transmission,1100.0
ESP_6_FRA_2_ac_ohl_mountain_transmission,1000.0
ESP_6_FRA_2_dc_underground_transmission,800.0
ESP_6_FRA_3_dc_subsea_transmission,700.0
ESP_7_ESP_11_ac_ohl_transmission,2100.0
ESP_7_ESP_8_ac_ohl_transmission,8700.0
ESP_8_ESP_10_ac_ohl_transmission,4000.0
ESP_8_ESP_9_ac_ohl_transmission,6100.0
ESP_8_PRT_2_ac_ohl_transmission,900.0
ESP_9_ESP_10_ac_ohl_transmission,8100.0
ESP_9_MA_dc_subsea_transmission,0.0
ESP_9_PRT_2_ac_ohl_transmission,500.0
PRT_1_PRT_2_ac_ohl_transmission,0.00010267283530997
Trade_Markets_ESP_10_natural_gas_transmission,456.6988249509238
Trade_Markets_ESP_11_coal_transmission,0.0
Trade_Markets_ESP_11_natural_gas_transmission,253.96203464479984
Trade_Markets_ESP_11_oil_fuel_transmission,2.0100577034605738e-06
Trade_Markets_ESP_11_uranium_transmission,1063.9399979588352
Trade_Markets_ESP_1_coal_transmission,7.32310199360604e-07
Trade_Markets_ESP_1_natural_gas_transmission,1752.790572192323
Trade_Markets_ESP_2_coal_transmission,7.699292313452973e-07
Trade_Markets_ESP_2_natural_gas_transmission,9.198837320474836e-07
Trade_Markets_ESP_2_oil_fuel_transmission,5.337811282925157e-06
Trade_Markets_ESP_2_uranium_transmission,455.28999893067464
Trade_Markets_ESP_3_natural_gas_transmission,425.94804156589635
Trade_Markets_ESP_4_natural_gas_transmission,732.3582209447595
Trade_Markets_ESP_5_coal_transmission,8.772820138924264e-07
Trade_Markets_ESP_5_natural_gas_transmission,685.9264972164557
Trade_Markets_ESP_6_natural_gas_transmission,1079.4712975017433
Trade_Markets_ESP_6_oil_fuel_transmission,3.542808769251225e-06
Trade_Markets_ESP_6_uranium_transmission,3032.8099978309356
Trade_Markets_ESP_7_coal_transmission,0.0
Trade_Markets_ESP_7_natural_gas_transmission,2.5584736610078213e-06
Trade_Markets_ESP_7_uranium_transmission,0.0
Trade_Markets_ESP_8_uranium_transmission,3.630040198461466e-07
Trade_Markets_ESP_9_coal_transmission,8.092599272312482e-07
Trade_Markets_ESP_9_natural_gas_transmission,683.916648383211
