nodes,techs,timesteps,source_use
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 00:00:00,3.199220975389927e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 03:00:00,3.197133963320559e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 06:00:00,3.1971684556959834e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 09:00:00,3.198697463325582e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 12:00:00,3.197782826798944e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 15:00:00,3.201902762249626e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 18:00:00,3.2038806762271734e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-01 21:00:00,3.2034124938706406e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 00:00:00,3.2001347582521075e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 03:00:00,3.198667326763947e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 06:00:00,3.199071215039978e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 09:00:00,3.202793489736294e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 12:00:00,3.201719716844195e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 15:00:00,3.202217492416853e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 18:00:00,3.199828475922318e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-02 21:00:00,3.198947304971194e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 00:00:00,3.197127084407393e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 03:00:00,3.197489002355843e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 06:00:00,3.1990557513557655e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 09:00:00,3.198067023283941e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 12:00:00,3.198907011961999e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 15:00:00,3.2000849075042194e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 18:00:00,3.2009862808639006e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-03 21:00:00,3.201434213748024e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 00:00:00,3.201482434262008e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 03:00:00,3.201315168258998e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 06:00:00,3.201547165661184e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 09:00:00,3.2009801656623934e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 12:00:00,3.197637330099404e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-04 15:00:00,3.2001698920422494e-05
