techs,costs,carriers,systemwide_levelised_cost
ESP_10_ESP_11_ac_ohl_transmission,monetary,electricity,11605772.584168546
ESP_1_ESP_2_ac_ohl_transmission,monetary,electricity,104808.36735792989
ESP_1_PRT_1_ac_ohl_transmission,monetary,electricity,292114.11027953034
ESP_2_ESP_3_ac_ohl_transmission,monetary,electricity,2499669.7653691215
ESP_2_ESP_4_ac_ohl_transmission,monetary,electricity,360139014.0256993
ESP_2_ESP_8_techs_ac_ohl_transmission,monetary,electricity,3444840237.8856363
ESP_2_PRT_1_ac_ohl_transmission,monetary,electricity,2999029.4054660155
ESP_3_ESP_11_ac_ohl_transmission,monetary,electricity,5065358696.085611
ESP_3_ESP_4_ac_ohl_transmission,monetary,electricity,609330.648998311
ESP_3_ESP_5_ac_ohl_transmission,monetary,electricity,134953571.1043786
ESP_3_ESP_7_ac_ohl_transmission,monetary,electricity,1531608478.8076785
ESP_4_ESP_5_techs_ac_ohl_transmission,monetary,electricity,113638.07704805149
ESP_4_FRA_1_ac_ohl_mountain_transmission,monetary,electricity,27597031.18319281
ESP_4_FRA_1_dc_subsea_transmission,monetary,electricity,2076.9815732660977
ESP_4_FRA_1_dc_underground_transmission,monetary,electricity,2671.24269863368
ESP_5_ESP_11_ac_ohl_transmission,monetary,electricity,3297456640.6098886
ESP_5_ESP_6_techs_ac_ohl_transmission,monetary,electricity,446313.3383240855
ESP_5_FRA_1_ac_ohl_transmission,monetary,electricity,51589265.65513719
ESP_6_ESP_11_ac_ohl_transmission,monetary,electricity,2856141984847968.0
ESP_6_FRA_2_ac_ohl_mountain_transmission,monetary,electricity,234092611.12035757
ESP_6_FRA_2_dc_underground_transmission,monetary,electricity,270343078.2309673
ESP_7_ESP_11_ac_ohl_transmission,monetary,electricity,1461428.1086920446
ESP_7_ESP_8_ac_ohl_transmission,monetary,electricity,1644122.8001908597
ESP_8_ESP_10_ac_ohl_transmission,monetary,electricity,21497238.819603346
ESP_8_ESP_9_ac_ohl_transmission,monetary,electricity,10055032.285250973
ESP_8_PRT_2_ac_ohl_transmission,monetary,electricity,309276585.1877497
ESP_9_ESP_10_ac_ohl_transmission,monetary,electricity,1107805.5154111446
ESP_9_PRT_2_ac_ohl_transmission,monetary,electricity,3900424.9842441035
PRT_1_PRT_2_ac_ohl_transmission,monetary,electricity,361234.11199006304
Trade_Markets_ESP_10_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_11_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,monetary,oil,0.0
Trade_Markets_ESP_1_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_2_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,monetary,oil,0.0
Trade_Markets_ESP_3_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_4_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_5_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_6_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_6_oil_fuel_transmission,monetary,oil,0.0
Trade_Markets_ESP_7_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_9_natural_gas_transmission,monetary,natural_gas,0.0
battery_CN,co2,electricity,0.8997376238074157
battery_CN,monetary,electricity,5.62121521946144
battery_CN,vul,electricity,1.1568022111746455e-05
battery_CZ,co2,electricity,0.48663494110666305
battery_CZ,monetary,electricity,2.7998431025364447
battery_CZ,vul,electricity,5.329831563859886e-06
battery_ESP,co2,electricity,0.05908917260964126
battery_ESP,monetary,electricity,3.1062938073922353
battery_ESP,vul,electricity,5.112404621010665e-06
battery_HU,co2,electricity,0.5370017859186745
battery_HU,monetary,electricity,2.796469526079831
battery_HU,vul,electricity,5.288365495929592e-06
battery_PL,co2,electricity,0.49425420505943235
battery_PL,monetary,electricity,2.7985866575718443
battery_PL,vul,electricity,5.3225738214455346e-06
battery_US,co2,electricity,0.4446927485191651
battery_US,monetary,electricity,2.8145531215485957
battery_US,vul,electricity,5.387341884560538e-06
biogas_to_electricity_supply_BEL,co2,electricity,1.5678427584538155
biogas_to_electricity_supply_BEL,monetary,electricity,2.122283968959608
biogas_to_electricity_supply_BEL,vul,electricity,3.0929044623839363e-06
biogas_to_electricity_supply_CAN,co2,electricity,55.396342712886366
biogas_to_electricity_supply_CAN,monetary,electricity,23.069446590766717
biogas_to_electricity_supply_CAN,vul,electricity,4.285690844269248e-06
biogas_to_electricity_supply_FR,co2,electricity,64.74265549839781
biogas_to_electricity_supply_FR,monetary,electricity,26.61937410214437
biogas_to_electricity_supply_FR,vul,electricity,4.3165281108462035e-06
biogas_to_electricity_supply_FSM,co2,electricity,31.11841764320312
biogas_to_electricity_supply_FSM,monetary,electricity,13.818689975928402
biogas_to_electricity_supply_FSM,vul,electricity,4.145931643434297e-06
biogas_to_electricity_supply_UK,co2,electricity,44.28499468879279
biogas_to_electricity_supply_UK,monetary,electricity,18.842806238048915
biogas_to_electricity_supply_UK,vul,electricity,4.236245920279245e-06
