costs,carriers,total_levelised_cost
co2,coal,5316667367.923696
co2,electricity,0.4253115694071853
co2,natural_gas,20.76194305548145
co2,oil,3164204138.332021
co2,uranium,3.0722748755756806
monetary,coal,122493408720.73648
monetary,electricity,9.798969974944638
monetary,natural_gas,478.3449857847578
monetary,oil,72901711536.62303
monetary,uranium,70.78370640729217
vul,coal,993311739.0414112
vul,electricity,0.07946086249275136
vul,natural_gas,3.878949036146474
vul,oil,591167529.9250579
vul,uranium,0.5739924069508033
vulnerability,coal,257.32814477743386
vulnerability,electricity,0.0
vulnerability,natural_gas,1.0048836834658348e-06
vulnerability,oil,153.1483397901645
vulnerability,uranium,1.4869893850195026e-07
