techs,costs,cost_om_prod
battery_CN,monetary,1.94
battery_CZ,monetary,1.94
battery_ESP,monetary,1.94
battery_HU,monetary,1.94
battery_PL,monetary,1.94
battery_US,monetary,1.94
biogas_to_electricity_supply_BEL,monetary,7.443609026
biogas_to_electricity_supply_CAN,monetary,7.443609026
biogas_to_electricity_supply_FR,monetary,7.443609026
biogas_to_electricity_supply_FSM,monetary,7.443609026
biogas_to_electricity_supply_UK,monetary,7.443609026
biogas_to_electricity_supply_USA,monetary,7.443609026
biomass_ESP,co2,1330.0
biomass_ESP,monetary,4.75
biomass_FR,co2,1330.0
biomass_FR,monetary,4.75
biomass_IT,co2,1330.0
biomass_IT,monetary,4.75
existing_biogas_to_electricity_supply,monetary,7.976
existing_biomass,monetary,4.77
existing_ccgt,monetary,4.678
existing_chp,monetary,5.74
existing_coal,monetary,3.21
existing_oil_and_other,monetary,0.3
existing_wind_onshore,monetary,2.11
existing_wte,monetary,26.9
pumped_hydro_CN,monetary,5.0
pumped_hydro_ESP,monetary,5.0
wind_offshore_CN,monetary,2.4
wind_offshore_DE,monetary,2.4
wind_offshore_ESP,monetary,2.4
wind_offshore_FR,monetary,2.4
wind_offshore_IND,monetary,2.4
wind_offshore_NDL,monetary,2.4
wind_offshore_PT,monetary,2.4
wind_onshore_competing_CN,monetary,1.98
wind_onshore_competing_DE,monetary,1.98
wind_onshore_competing_ESP,monetary,1.98
wind_onshore_competing_FR,monetary,1.98
wind_onshore_competing_IND,monetary,1.98
wind_onshore_competing_NDL,monetary,1.98
wind_onshore_competing_PT,monetary,1.98
wind_onshore_monopoly_CN,monetary,1.98
wind_onshore_monopoly_DE,monetary,1.98
wind_onshore_monopoly_ESP,monetary,1.98
wind_onshore_monopoly_FR,monetary,1.98
wind_onshore_monopoly_IND,monetary,1.98
wind_onshore_monopoly_NDL,monetary,1.98
wind_onshore_monopoly_PT,monetary,1.98
