nodes,techs,carriers,definition_matrix
ESP_1,ESP_10_ESP_11_ac_ohl_transmission,coal,False
ESP_1,ESP_10_ESP_11_ac_ohl_transmission,electricity,False
ESP_1,ESP_10_ESP_11_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_10_ESP_11_ac_ohl_transmission,oil,False
ESP_1,ESP_10_ESP_11_ac_ohl_transmission,uranium,False
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,coal,False
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,True
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,oil,False
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,uranium,False
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,coal,False
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,True
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,oil,False
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,uranium,False
ESP_1,ESP_2_ESP_3_ac_ohl_transmission,coal,False
ESP_1,ESP_2_ESP_3_ac_ohl_transmission,electricity,False
ESP_1,ESP_2_ESP_3_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_2_ESP_3_ac_ohl_transmission,oil,False
ESP_1,ESP_2_ESP_3_ac_ohl_transmission,uranium,False
ESP_1,ESP_2_ESP_4_ac_ohl_transmission,coal,False
ESP_1,ESP_2_ESP_4_ac_ohl_transmission,electricity,False
ESP_1,ESP_2_ESP_4_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_2_ESP_4_ac_ohl_transmission,oil,False
ESP_1,ESP_2_ESP_4_ac_ohl_transmission,uranium,False
ESP_1,ESP_2_ESP_8_techs_ac_ohl_transmission,coal,False
ESP_1,ESP_2_ESP_8_techs_ac_ohl_transmission,electricity,False
ESP_1,ESP_2_ESP_8_techs_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_2_ESP_8_techs_ac_ohl_transmission,oil,False
ESP_1,ESP_2_ESP_8_techs_ac_ohl_transmission,uranium,False
ESP_1,ESP_2_PRT_1_ac_ohl_transmission,coal,False
ESP_1,ESP_2_PRT_1_ac_ohl_transmission,electricity,False
ESP_1,ESP_2_PRT_1_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_2_PRT_1_ac_ohl_transmission,oil,False
ESP_1,ESP_2_PRT_1_ac_ohl_transmission,uranium,False
ESP_1,ESP_3_ESP_11_ac_ohl_transmission,coal,False
ESP_1,ESP_3_ESP_11_ac_ohl_transmission,electricity,False
ESP_1,ESP_3_ESP_11_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_3_ESP_11_ac_ohl_transmission,oil,False
ESP_1,ESP_3_ESP_11_ac_ohl_transmission,uranium,False
ESP_1,ESP_3_ESP_4_ac_ohl_transmission,coal,False
ESP_1,ESP_3_ESP_4_ac_ohl_transmission,electricity,False
ESP_1,ESP_3_ESP_4_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_3_ESP_4_ac_ohl_transmission,oil,False
ESP_1,ESP_3_ESP_4_ac_ohl_transmission,uranium,False
ESP_1,ESP_3_ESP_5_ac_ohl_transmission,coal,False
ESP_1,ESP_3_ESP_5_ac_ohl_transmission,electricity,False
ESP_1,ESP_3_ESP_5_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_3_ESP_5_ac_ohl_transmission,oil,False
ESP_1,ESP_3_ESP_5_ac_ohl_transmission,uranium,False
ESP_1,ESP_3_ESP_7_ac_ohl_transmission,coal,False
ESP_1,ESP_3_ESP_7_ac_ohl_transmission,electricity,False
ESP_1,ESP_3_ESP_7_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_3_ESP_7_ac_ohl_transmission,oil,False
ESP_1,ESP_3_ESP_7_ac_ohl_transmission,uranium,False
ESP_1,ESP_4_ESP_5_techs_ac_ohl_transmission,coal,False
ESP_1,ESP_4_ESP_5_techs_ac_ohl_transmission,electricity,False
ESP_1,ESP_4_ESP_5_techs_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_4_ESP_5_techs_ac_ohl_transmission,oil,False
ESP_1,ESP_4_ESP_5_techs_ac_ohl_transmission,uranium,False
ESP_1,ESP_4_FRA_1_ac_ohl_mountain_transmission,coal,False
ESP_1,ESP_4_FRA_1_ac_ohl_mountain_transmission,electricity,False
ESP_1,ESP_4_FRA_1_ac_ohl_mountain_transmission,natural_gas,False
ESP_1,ESP_4_FRA_1_ac_ohl_mountain_transmission,oil,False
ESP_1,ESP_4_FRA_1_ac_ohl_mountain_transmission,uranium,False
ESP_1,ESP_4_FRA_1_dc_subsea_transmission,coal,False
ESP_1,ESP_4_FRA_1_dc_subsea_transmission,electricity,False
ESP_1,ESP_4_FRA_1_dc_subsea_transmission,natural_gas,False
ESP_1,ESP_4_FRA_1_dc_subsea_transmission,oil,False
ESP_1,ESP_4_FRA_1_dc_subsea_transmission,uranium,False
ESP_1,ESP_4_FRA_1_dc_underground_transmission,coal,False
ESP_1,ESP_4_FRA_1_dc_underground_transmission,electricity,False
ESP_1,ESP_4_FRA_1_dc_underground_transmission,natural_gas,False
ESP_1,ESP_4_FRA_1_dc_underground_transmission,oil,False
ESP_1,ESP_4_FRA_1_dc_underground_transmission,uranium,False
ESP_1,ESP_5_ESP_11_ac_ohl_transmission,coal,False
ESP_1,ESP_5_ESP_11_ac_ohl_transmission,electricity,False
ESP_1,ESP_5_ESP_11_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_5_ESP_11_ac_ohl_transmission,oil,False
ESP_1,ESP_5_ESP_11_ac_ohl_transmission,uranium,False
ESP_1,ESP_5_ESP_6_techs_ac_ohl_transmission,coal,False
ESP_1,ESP_5_ESP_6_techs_ac_ohl_transmission,electricity,False
ESP_1,ESP_5_ESP_6_techs_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_5_ESP_6_techs_ac_ohl_transmission,oil,False
ESP_1,ESP_5_ESP_6_techs_ac_ohl_transmission,uranium,False
ESP_1,ESP_5_FRA_1_ac_ohl_transmission,coal,False
ESP_1,ESP_5_FRA_1_ac_ohl_transmission,electricity,False
ESP_1,ESP_5_FRA_1_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_5_FRA_1_ac_ohl_transmission,oil,False
ESP_1,ESP_5_FRA_1_ac_ohl_transmission,uranium,False
ESP_1,ESP_6_ESP_11_ac_ohl_transmission,coal,False
ESP_1,ESP_6_ESP_11_ac_ohl_transmission,electricity,False
ESP_1,ESP_6_ESP_11_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_6_ESP_11_ac_ohl_transmission,oil,False
ESP_1,ESP_6_ESP_11_ac_ohl_transmission,uranium,False
ESP_1,ESP_6_FRA_2_ac_ohl_mountain_transmission,coal,False
ESP_1,ESP_6_FRA_2_ac_ohl_mountain_transmission,electricity,False
ESP_1,ESP_6_FRA_2_ac_ohl_mountain_transmission,natural_gas,False
ESP_1,ESP_6_FRA_2_ac_ohl_mountain_transmission,oil,False
ESP_1,ESP_6_FRA_2_ac_ohl_mountain_transmission,uranium,False
ESP_1,ESP_6_FRA_2_dc_underground_transmission,coal,False
ESP_1,ESP_6_FRA_2_dc_underground_transmission,electricity,False
ESP_1,ESP_6_FRA_2_dc_underground_transmission,natural_gas,False
ESP_1,ESP_6_FRA_2_dc_underground_transmission,oil,False
ESP_1,ESP_6_FRA_2_dc_underground_transmission,uranium,False
ESP_1,ESP_6_FRA_3_dc_subsea_transmission,coal,False
ESP_1,ESP_6_FRA_3_dc_subsea_transmission,electricity,False
ESP_1,ESP_6_FRA_3_dc_subsea_transmission,natural_gas,False
ESP_1,ESP_6_FRA_3_dc_subsea_transmission,oil,False
ESP_1,ESP_6_FRA_3_dc_subsea_transmission,uranium,False
ESP_1,ESP_7_ESP_11_ac_ohl_transmission,coal,False
ESP_1,ESP_7_ESP_11_ac_ohl_transmission,electricity,False
ESP_1,ESP_7_ESP_11_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_7_ESP_11_ac_ohl_transmission,oil,False
ESP_1,ESP_7_ESP_11_ac_ohl_transmission,uranium,False
ESP_1,ESP_7_ESP_8_ac_ohl_transmission,coal,False
ESP_1,ESP_7_ESP_8_ac_ohl_transmission,electricity,False
ESP_1,ESP_7_ESP_8_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_7_ESP_8_ac_ohl_transmission,oil,False
ESP_1,ESP_7_ESP_8_ac_ohl_transmission,uranium,False
ESP_1,ESP_8_ESP_10_ac_ohl_transmission,coal,False
ESP_1,ESP_8_ESP_10_ac_ohl_transmission,electricity,False
ESP_1,ESP_8_ESP_10_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_8_ESP_10_ac_ohl_transmission,oil,False
ESP_1,ESP_8_ESP_10_ac_ohl_transmission,uranium,False
ESP_1,ESP_8_ESP_9_ac_ohl_transmission,coal,False
ESP_1,ESP_8_ESP_9_ac_ohl_transmission,electricity,False
ESP_1,ESP_8_ESP_9_ac_ohl_transmission,natural_gas,False
ESP_1,ESP_8_ESP_9_ac_ohl_transmission,oil,False
ESP_1,ESP_8_ESP_9_ac_ohl_transmission,uranium,False
ESP_1,ESP_8_PRT_2_ac_ohl_transmission,coal,False
ESP_1,ESP_8_PRT_2_ac_ohl_transmission,electricity,False
ESP_1,ESP_8_PRT_2_ac_ohl_transmission,natural_gas,False
