nodes,techs,costs,cost
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,monetary,2042465.7534246575
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,monetary,340410.9589041096
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,monetary,0.0
ESP_1,battery_CN,co2,1.3202073632310998
ESP_1,battery_CN,monetary,4.297211656982386
ESP_1,battery_CN,vul,7.682631701776739e-06
ESP_1,battery_CZ,co2,1.4566637480814908
ESP_1,battery_CZ,monetary,4.143991844355448
ESP_1,battery_CZ,vul,1.362442783913125e-06
ESP_1,battery_ESP,co2,0.17253958617577553
ESP_1,battery_ESP,monetary,4.67029438853433
ESP_1,battery_ESP,vul,3.8245124750263286e-07
ESP_1,battery_HU,co2,1.5524861160444074
ESP_1,battery_HU,monetary,4.046189680762179
ESP_1,battery_HU,vul,9.139454248220001e-07
ESP_1,battery_PL,co2,1.4717093019090401
ESP_1,battery_PL,monetary,4.128458708827759
ESP_1,battery_PL,vul,8.120698210231115e-07
ESP_1,battery_US,co2,1.3686042878742226
ESP_1,battery_US,monetary,4.236815996135608
ESP_1,battery_US,vul,1.1327423503624722e-06
ESP_1,biogas_to_electricity_supply_BEL,co2,5.012467453811617
ESP_1,biogas_to_electricity_supply_BEL,monetary,3.5234981971371306
ESP_1,biogas_to_electricity_supply_BEL,vul,4.222156587838891e-06
ESP_1,biogas_to_electricity_supply_CAN,co2,2.395368065902299
ESP_1,biogas_to_electricity_supply_CAN,monetary,0.7252585375439549
ESP_1,biogas_to_electricity_supply_CAN,vul,0.0
ESP_1,biogas_to_electricity_supply_FR,co2,2.3894619783361093
ESP_1,biogas_to_electricity_supply_FR,monetary,0.7180763145294696
ESP_1,biogas_to_electricity_supply_FR,vul,0.0
ESP_1,biogas_to_electricity_supply_FSM,co2,2.4790350266245444
ESP_1,biogas_to_electricity_supply_FSM,monetary,0.7798320503299111
ESP_1,biogas_to_electricity_supply_FSM,vul,1.4102823306057658e-07
ESP_1,biogas_to_electricity_supply_UK,co2,2.4373307102239297
ESP_1,biogas_to_electricity_supply_UK,monetary,0.7473783214178683
ESP_1,biogas_to_electricity_supply_UK,vul,0.0
ESP_1,biogas_to_electricity_supply_USA,co2,2.4043219327556478
ESP_1,biogas_to_electricity_supply_USA,monetary,0.7775367534662574
ESP_1,biogas_to_electricity_supply_USA,vul,1.3677792779999854e-07
ESP_1,biomass_ESP,co2,9.522656429567529e-05
ESP_1,biomass_ESP,monetary,1.7620582304513461
ESP_1,biomass_ESP,vul,2.3640052582897074e-07
ESP_1,biomass_FR,co2,0.0004058974414115884
ESP_1,biomass_FR,monetary,1.6625983302816483
ESP_1,biomass_FR,vul,2.2334352281388932e-07
ESP_1,biomass_IT,co2,0.010933357779629236
ESP_1,biomass_IT,monetary,1.4832447663791437
ESP_1,biomass_IT,vul,1.9884342326826119e-07
ESP_1,existing_biogas_to_electricity_supply,monetary,52012.407434410954
ESP_1,existing_biomass,monetary,2494212.691561644
ESP_1,existing_ccgt,monetary,1.0118343966941201
ESP_1,existing_chp,monetary,8278872.509282192
ESP_1,existing_coal,monetary,1.3765384943332668
ESP_1,existing_hydro_reservoir,monetary,1.9229918864954572
ESP_1,existing_hydro_run_of_river,monetary,6864406.438356165
ESP_1,existing_nuclear,monetary,0.0
ESP_1,existing_oil_and_other,monetary,0.0
ESP_1,existing_open_field_pv,monetary,44126.59726027398
ESP_1,existing_pumped_hydro,monetary,849898.2443835618
ESP_1,existing_rooftop_pv,monetary,2111.5205479452056
ESP_1,existing_wind_onshore,monetary,12210088.94260274
ESP_1,existing_wte,monetary,0.7233017538837537
ESP_1,open_field_pv_CN,co2,0.8720009797580651
ESP_1,open_field_pv_CN,monetary,0.8645208232772637
ESP_1,open_field_pv_CN,vul,6.68781041430328e-07
ESP_1,open_field_pv_DE,co2,41.84844651038522
ESP_1,open_field_pv_DE,monetary,34.132759080111484
ESP_1,open_field_pv_DE,vul,3.044106966634394e-06
ESP_1,open_field_pv_ESP,co2,0.49165410528022635
ESP_1,open_field_pv_ESP,monetary,1.1018807392537373
ESP_1,open_field_pv_ESP,vul,0.0
ESP_1,open_field_pv_MY,co2,19.401787303500768
ESP_1,open_field_pv_MY,monetary,14.688545531065564
ESP_1,open_field_pv_MY,vul,3.028388824702239e-06
ESP_1,open_field_pv_NL,co2,2522086.4243583563
ESP_1,open_field_pv_NL,monetary,2215274.0576331965
ESP_1,open_field_pv_NL,vul,0.12256461571751667
ESP_1,open_field_pv_PT,co2,6.972453222317555
ESP_1,open_field_pv_PT,monetary,4.369838272348448
ESP_1,open_field_pv_PT,vul,2.0033043610257113e-07
ESP_1,pumped_hydro_CN,co2,0.6284966260785572
ESP_1,pumped_hydro_CN,monetary,9.387680531026549
ESP_1,pumped_hydro_CN,vulnerability,5.383992690312691e-05
ESP_1,pumped_hydro_ESP,co2,0.0011996172936966029
ESP_1,pumped_hydro_ESP,monetary,0.7763411368471065
ESP_1,pumped_hydro_ESP,vul,3.591236509393524e-07
ESP_1,roof_mounted_pv_CN,co2,0.981849475738011
ESP_1,roof_mounted_pv_CN,monetary,0.8528545649221515
ESP_1,roof_mounted_pv_CN,vul,7.529518479531646e-07
ESP_1,roof_mounted_pv_DE,co2,1.127589263922674
ESP_1,roof_mounted_pv_DE,monetary,0.8147047869759336
ESP_1,roof_mounted_pv_DE,vul,0.0
ESP_1,roof_mounted_pv_ESP,co2,0.33761371796162515
ESP_1,roof_mounted_pv_ESP,monetary,0.7322245691770783
ESP_1,roof_mounted_pv_ESP,vul,0.0
ESP_1,roof_mounted_pv_MY,co2,1.1978907888438566
