nodes,techs,costs,cost_investment_storage_cap
ESP_1,battery_CN,monetary,71.2730070317328
ESP_1,battery_CZ,monetary,70.12167529845736
ESP_1,battery_ESP,monetary,67.9663927959405
ESP_1,battery_HU,monetary,69.38198272507572
ESP_1,battery_PL,monetary,70.00384399983375
ESP_1,battery_US,monetary,70.82839904054539
ESP_10,battery_CN,monetary,520353.8177152816
ESP_10,battery_CZ,monetary,6375.580342510995
ESP_10,battery_ESP,monetary,303.95736034732033
ESP_10,battery_HU,monetary,3039.453392550376
ESP_10,battery_PL,monetary,5526.248199174957
ESP_10,battery_US,monetary,22878.829086320413
ESP_11,battery_CN,monetary,56.94761101412961
ESP_11,battery_CZ,monetary,56.94703054144938
ESP_11,battery_ESP,monetary,56.96065666275228
ESP_11,battery_HU,monetary,56.946573131888286
ESP_11,battery_PL,monetary,56.94696671569253
ESP_11,battery_US,monetary,56.94735631311802
ESP_2,battery_CN,monetary,58.93166265563645
ESP_2,battery_CZ,monetary,58.79876397169944
ESP_2,battery_ESP,monetary,59.11682684581026
ESP_2,battery_HU,monetary,58.712675315535186
ESP_2,battery_PL,monetary,58.785178583534154
ESP_2,battery_US,monetary,58.87917126289915
ESP_3,battery_CN,monetary,99.58217326590902
ESP_3,battery_CZ,monetary,94.4410684188178
ESP_3,battery_ESP,monetary,80.70410730661213
ESP_3,battery_HU,monetary,91.26019686861298
ESP_3,battery_PL,monetary,93.92707755495576
ESP_3,battery_US,monetary,97.58405719270883
ESP_4,battery_CN,monetary,183.57782151365737
ESP_4,battery_CZ,monetary,167.12306717160507
ESP_4,battery_ESP,monetary,123.0818621219552
ESP_4,battery_HU,monetary,157.29137912347377
ESP_4,battery_PL,monetary,165.51070792207963
ESP_4,battery_US,monetary,177.13429746752175
ESP_5,battery_CN,monetary,73.03006333817939
ESP_5,battery_CZ,monetary,71.83224422246361
ESP_5,battery_ESP,monetary,70.44555427266397
ESP_5,battery_HU,monetary,71.04327896607055
ESP_5,battery_PL,monetary,71.70762546906501
ESP_5,battery_US,monetary,72.57080612805629
ESP_6,battery_CN,monetary,60.96186643224975
ESP_6,battery_CZ,monetary,60.68137838852494
ESP_6,battery_ESP,monetary,60.85173864285241
ESP_6,battery_HU,monetary,60.49516070822511
ESP_6,battery_PL,monetary,60.65216554049567
ESP_6,battery_US,monetary,60.8525172615391
ESP_7,battery_CN,monetary,19430498.197622426
ESP_7,battery_CZ,monetary,7248.995764447192
ESP_7,battery_ESP,monetary,451.91248448800354
ESP_7,battery_HU,monetary,3339.9826358008904
ESP_7,battery_PL,monetary,6271.655103411136
ESP_7,battery_US,monetary,30225.744445503216
ESP_8,battery_CN,monetary,56.897099435845874
ESP_8,battery_CZ,monetary,56.89711133852282
ESP_8,battery_ESP,monetary,56.89853999353798
ESP_8,battery_HU,monetary,56.89701051181089
ESP_8,battery_PL,monetary,56.89710312516023
ESP_8,battery_US,monetary,56.89710168717532
ESP_9,battery_CN,monetary,73.77890082735028
ESP_9,battery_CZ,monetary,72.38584162779682
ESP_9,battery_ESP,monetary,69.62437573883668
ESP_9,battery_HU,monetary,71.47112483872174
ESP_9,battery_PL,monetary,72.24108314223356
ESP_9,battery_US,monetary,73.24612190979107
