nodes,techs,costs,cost_operation_fixed
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,monetary,0.0
ESP_1,battery_CN,monetary,2.935345131339226
ESP_1,battery_CZ,monetary,2.758946637424078
ESP_1,battery_ESP,monetary,2.581545920642772
ESP_1,battery_HU,monetary,2.643913550377929
ESP_1,battery_PL,monetary,2.7407356459530017
ESP_1,battery_US,monetary,2.8672540743550075
ESP_1,biogas_to_electricity_supply_BEL,monetary,2.0877226488838088
ESP_1,biogas_to_electricity_supply_CAN,monetary,0.03912634116947066
ESP_1,biogas_to_electricity_supply_FR,monetary,0.033635773983351665
ESP_1,biogas_to_electricity_supply_FSM,monetary,0.06973399260952869
ESP_1,biogas_to_electricity_supply_UK,monetary,0.049226194522347846
ESP_1,biogas_to_electricity_supply_USA,monetary,0.06763235133389789
ESP_1,biomass_ESP,monetary,1.759673081665259
ESP_1,biomass_FR,monetary,1.6624818565091717
ESP_1,biomass_IT,monetary,1.4801126950304382
ESP_1,existing_biogas_to_electricity_supply,monetary,52012.407434410954
ESP_1,existing_biomass,monetary,2494212.691561644
ESP_1,existing_ccgt,monetary,1.0118343966941201
ESP_1,existing_chp,monetary,8278872.509282192
ESP_1,existing_coal,monetary,1.3765384943332668
ESP_1,existing_hydro_run_of_river,monetary,6864406.438356165
ESP_1,existing_nuclear,monetary,0.0
ESP_1,existing_oil_and_other,monetary,0.0
ESP_1,existing_open_field_pv,monetary,44126.59726027398
ESP_1,existing_pumped_hydro,monetary,849898.2443835618
ESP_1,existing_rooftop_pv,monetary,2111.5205479452056
ESP_1,existing_wind_onshore,monetary,12210088.94260274
ESP_1,existing_wte,monetary,0.7233017538837537
ESP_1,open_field_pv_CN,monetary,0.6353419893588116
ESP_1,open_field_pv_DE,monetary,23.135212946421394
ESP_1,open_field_pv_ESP,monetary,0.21119542865330354
ESP_1,open_field_pv_MY,monetary,9.589897944890424
ESP_1,open_field_pv_NL,monetary,1552485.132421878
ESP_1,open_field_pv_PT,monetary,2.537518857299234
ESP_1,pumped_hydro_CN,monetary,9.082292463657557
ESP_1,pumped_hydro_ESP,monetary,0.7237631558301107
ESP_1,roof_mounted_pv_CN,monetary,0.594831959883
ESP_1,roof_mounted_pv_DE,monetary,0.5183804073656687
ESP_1,roof_mounted_pv_ESP,monetary,0.12060030729031108
ESP_1,roof_mounted_pv_MY,monetary,0.49237155782038006
ESP_1,roof_mounted_pv_NL,monetary,0.5438309833508735
ESP_1,roof_mounted_pv_PT,monetary,0.4195716982832859
ESP_1,wind_offshore_CN,monetary,1.112116502854139
ESP_1,wind_offshore_DE,monetary,1.2001641025116334
ESP_1,wind_offshore_ESP,monetary,0.009491703029011717
ESP_1,wind_offshore_FR,monetary,1.2148484940742534
