techs,link_flow_cap
ESP_10_ESP_11_ac_ohl_transmission,3200.0
ESP_1_ESP_2_ac_ohl_transmission,7200.0
ESP_1_PRT_1_ac_ohl_transmission,1200.0
ESP_2_ESP_3_ac_ohl_transmission,19100.0
ESP_2_ESP_4_ac_ohl_transmission,2400.0
ESP_2_ESP_8_techs_ac_ohl_transmission,2400.0
ESP_2_PRT_1_ac_ohl_transmission,950.0
ESP_3_ESP_11_ac_ohl_transmission,2700.0
ESP_3_ESP_4_ac_ohl_transmission,7100.0
ESP_3_ESP_5_ac_ohl_transmission,3900.0
ESP_3_ESP_7_ac_ohl_transmission,10200.0
ESP_4_ESP_5_techs_ac_ohl_transmission,900.0
ESP_4_FRA_1_ac_ohl_mountain_transmission,1000.0
ESP_4_FRA_1_dc_subsea_transmission,2000.0
ESP_4_FRA_1_dc_underground_transmission,3500.0
ESP_5_ESP_11_ac_ohl_transmission,5700.0
ESP_5_ESP_6_techs_ac_ohl_transmission,7000.0
ESP_5_FRA_1_ac_ohl_transmission,100.0
ESP_6_ESP_11_ac_ohl_transmission,1100.0
ESP_6_FRA_2_ac_ohl_mountain_transmission,1000.0
ESP_6_FRA_2_dc_underground_transmission,800.0
ESP_6_FRA_3_dc_subsea_transmission,700.0
ESP_7_ESP_11_ac_ohl_transmission,2100.0
ESP_7_ESP_8_ac_ohl_transmission,8700.0
ESP_8_ESP_10_ac_ohl_transmission,4000.0
ESP_8_ESP_9_ac_ohl_transmission,6100.0
ESP_8_PRT_2_ac_ohl_transmission,900.0
ESP_9_ESP_10_ac_ohl_transmission,8100.0
ESP_9_MA_dc_subsea_transmission,0.0
ESP_9_PRT_2_ac_ohl_transmission,500.0
PRT_1_PRT_2_ac_ohl_transmission,0.006191044506585687
Trade_Markets_ESP_10_natural_gas_transmission,353.07692280382986
Trade_Markets_ESP_11_coal_transmission,0.0
Trade_Markets_ESP_11_natural_gas_transmission,0.00019956122342276774
Trade_Markets_ESP_11_oil_fuel_transmission,0.0003331782647089977
Trade_Markets_ESP_11_uranium_transmission,1063.939849206218
Trade_Markets_ESP_1_coal_transmission,6.10848365753162e-05
Trade_Markets_ESP_1_natural_gas_transmission,715.300794836697
Trade_Markets_ESP_2_coal_transmission,7.885671510086194e-05
Trade_Markets_ESP_2_natural_gas_transmission,3.436414338407368e-05
Trade_Markets_ESP_2_oil_fuel_transmission,0.004282030775143882
Trade_Markets_ESP_2_uranium_transmission,455.2899592593536
Trade_Markets_ESP_3_natural_gas_transmission,223.02154652021235
Trade_Markets_ESP_4_natural_gas_transmission,519.150970384112
Trade_Markets_ESP_5_coal_transmission,5.659627398301471e-05
Trade_Markets_ESP_5_natural_gas_transmission,244.97796499449373
Trade_Markets_ESP_6_natural_gas_transmission,542.6941964340888
Trade_Markets_ESP_6_oil_fuel_transmission,0.0016565737621747874
Trade_Markets_ESP_6_uranium_transmission,3032.80994479366
Trade_Markets_ESP_7_coal_transmission,0.0
Trade_Markets_ESP_7_natural_gas_transmission,9.365472492063587e-05
Trade_Markets_ESP_7_uranium_transmission,0.0
Trade_Markets_ESP_8_uranium_transmission,1.2400573483584517e-05
Trade_Markets_ESP_9_coal_transmission,5.728333621978644e-05
Trade_Markets_ESP_9_natural_gas_transmission,781.2530246513132
