techs,costs,carriers,systemwide_levelised_cost
ESP_10_ESP_11_ac_ohl_transmission,monetary,electricity,79905970265.72475
ESP_1_ESP_2_ac_ohl_transmission,monetary,electricity,515081011453.6532
ESP_1_PRT_1_ac_ohl_transmission,monetary,electricity,167482.21993522564
ESP_2_ESP_3_ac_ohl_transmission,monetary,electricity,1421326828785.0776
ESP_2_ESP_4_ac_ohl_transmission,monetary,electricity,27790649542.789692
ESP_2_ESP_8_techs_ac_ohl_transmission,monetary,electricity,106991965584.5745
ESP_2_PRT_1_ac_ohl_transmission,monetary,electricity,710795.9558496386
ESP_3_ESP_11_ac_ohl_transmission,monetary,electricity,76430087498.67902
ESP_3_ESP_4_ac_ohl_transmission,monetary,electricity,152256415005.00488
ESP_3_ESP_5_ac_ohl_transmission,monetary,electricity,625762685867.8513
ESP_3_ESP_7_ac_ohl_transmission,monetary,electricity,115659006810.78297
ESP_4_ESP_5_techs_ac_ohl_transmission,monetary,electricity,19650977117.561577
ESP_4_FRA_1_ac_ohl_mountain_transmission,monetary,electricity,6779772.878692672
ESP_4_FRA_1_dc_subsea_transmission,monetary,electricity,706.8919966727677
ESP_4_FRA_1_dc_underground_transmission,monetary,electricity,1075.8335184188559
ESP_5_ESP_11_ac_ohl_transmission,monetary,electricity,284965141025.26184
ESP_5_ESP_6_techs_ac_ohl_transmission,monetary,electricity,250518755495.17224
ESP_5_FRA_1_ac_ohl_transmission,monetary,electricity,3851477.048872224
ESP_6_ESP_11_ac_ohl_transmission,monetary,electricity,20535686908128.27
ESP_6_FRA_2_ac_ohl_mountain_transmission,monetary,electricity,13419957.97949014
ESP_6_FRA_2_dc_underground_transmission,monetary,electricity,15665636.326359354
ESP_7_ESP_11_ac_ohl_transmission,monetary,electricity,46306990329.78589
ESP_7_ESP_8_ac_ohl_transmission,monetary,electricity,396370944176.5591
ESP_8_ESP_10_ac_ohl_transmission,monetary,electricity,209893654632.69574
ESP_8_ESP_9_ac_ohl_transmission,monetary,electricity,579662396199.8918
ESP_8_PRT_2_ac_ohl_transmission,monetary,electricity,33903170.65222362
ESP_9_ESP_10_ac_ohl_transmission,monetary,electricity,482651620821.1337
ESP_9_PRT_2_ac_ohl_transmission,monetary,electricity,2259751.7414575685
PRT_1_PRT_2_ac_ohl_transmission,monetary,electricity,211711.10544886874
Trade_Markets_ESP_10_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_11_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,monetary,oil,0.0
Trade_Markets_ESP_1_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_2_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,monetary,oil,0.0
Trade_Markets_ESP_3_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_4_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_5_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_6_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_6_oil_fuel_transmission,monetary,oil,0.0
Trade_Markets_ESP_7_natural_gas_transmission,monetary,natural_gas,0.0
Trade_Markets_ESP_9_natural_gas_transmission,monetary,natural_gas,0.0
battery_CN,co2,electricity,1.0628940107304758
battery_CN,monetary,electricity,3.0668938180470766
battery_CN,vul,electricity,6.185258051039341e-06
battery_CZ,co2,electricity,1.1144869584498833
battery_CZ,monetary,electricity,3.106745087679777
battery_CZ,vul,electricity,1.042398917598644e-06
battery_ESP,co2,electricity,0.1330176497704834
battery_ESP,monetary,electricity,3.606663017102061
battery_ESP,vul,electricity,2.948469230867565e-07
battery_HU,co2,electricity,1.239217164789441
battery_HU,monetary,electricity,3.1464054024200774
battery_HU,vul,electricity,7.295246291837397e-07
battery_PL,co2,electricity,1.1332278809043956
battery_PL,monetary,electricity,3.1146219406679845
battery_PL,vul,electricity,6.2530022826567e-07
battery_US,co2,electricity,1.0107576826013163
battery_US,monetary,electricity,3.077549903088574
battery_US,vul,electricity,8.365661595398728e-07
biogas_to_electricity_supply_BEL,co2,electricity,3.583040963449742
biogas_to_electricity_supply_BEL,monetary,electricity,2.518687351352952
biogas_to_electricity_supply_BEL,vul,electricity,3.0181063812837464e-06
biogas_to_electricity_supply_CAN,co2,electricity,132.70752746735766
biogas_to_electricity_supply_CAN,monetary,electricity,40.18057544563413
biogas_to_electricity_supply_CAN,vul,electricity,4.383833722335786e-06
biogas_to_electricity_supply_FR,co2,electricity,154.97398468222195
biogas_to_electricity_supply_FR,monetary,electricity,46.572470613676785
biogas_to_electricity_supply_FR,vul,electricity,4.411859101970893e-06
biogas_to_electricity_supply_FSM,co2,electricity,74.85102451963928
biogas_to_electricity_supply_FSM,monetary,electricity,23.545947230896143
biogas_to_electricity_supply_FSM,vul,electricity,4.258151908870696e-06
biogas_to_electricity_supply_UK,co2,electricity,106.4124171837263
biogas_to_electricity_supply_UK,monetary,electricity,32.63009545614122
biogas_to_electricity_supply_UK,vul,electricity,4.346459573660547e-06
biogas_to_electricity_supply_USA,co2,electricity,74.9954974961615
biogas_to_electricity_supply_USA,monetary,electricity,24.252890119801805
biogas_to_electricity_supply_USA,vul,electricity,4.2663707393370295e-06
biomass_ESP,co2,electricity,0.0014091916226616967
biomass_ESP,monetary,electricity,26.07547290359292
biomass_ESP,vul,electricity,3.4983267857552524e-06
biomass_FR,co2,electricity,0.0062315324364765855
biomass_FR,monetary,electricity,25.52500796248209
biomass_FR,vul,electricity,3.4288770139854447e-06
biomass_IT,co2,electricity,0.1978643323294386
biomass_IT,monetary,electricity,26.84273590017793
biomass_IT,vul,electricity,3.5985304767378296e-06
coal_AUS,co2,coal,13.310000000000002
coal_AUS,monetary,coal,5.029999999999999
coal_AUS,vul,coal,0.5000000000000008
coal_COL,co2,coal,9.339999999999995
coal_COL,monetary,coal,3.529999999999999
coal_COL,vul,coal,0.5000000000000002
coal_ITA,co2,coal,9.590000000000002
coal_ITA,monetary,coal,3.6299999999999986
coal_ITA,vul,coal,0.49999999999999944
coal_RUS,co2,coal,10.01
coal_RUS,monetary,coal,3.7900000000000023
coal_RUS,vul,coal,0.5000000000000007
coal_USA,co2,coal,16.44000000000002
coal_USA,monetary,coal,6.2200000000000015
coal_USA,vul,coal,0.5000000000000002
el_import_FR,co2,electricity,56.999999999999964
el_import_FR,monetary,electricity,22.300000000000004
el_import_FR,vul,electricity,0.0
el_import_PT,co2,electricity,388.99999999999994
el_import_PT,monetary,electricity,0.28000000000000014
el_import_PT,vul,electricity,0.0
existing_biogas_to_electricity_supply,monetary,electricity,1.3317834945218598
existing_biomass,monetary,electricity,20.886984195271403
