costs,carriers,total_levelised_cost
co2,coal,146410985.06227195
co2,electricity,1.0287850939594807
co2,natural_gas,83.64138564947278
co2,oil,16582964.179332325
co2,uranium,6.731779989575398
monetary,coal,1453717396.9058933
monetary,electricity,10.214826354253843
monetary,natural_gas,830.4768755448104
monetary,oil,164652560.11705285
monetary,uranium,66.83996886453892
vul,coal,11749864.879553966
vul,electricity,0.08256269732070848
vul,natural_gas,6.712440185427156
vul,oil,1330826.2923493425
vul,uranium,0.5402429690829151
vulnerability,coal,2.2210674145986316
vulnerability,electricity,0.0
vulnerability,natural_gas,1.2688471162113142e-06
vulnerability,oil,0.2515650131068097
vulnerability,uranium,1.021216896446241e-07
